ID,MaxScale
106679,1
106681,1
106695,1
106698,1
106701,1
106705,1
106732,1
106735,1
106738,1
106740,1
106747,1
106759,1
106761,1
106767,1
106773,1
106779,1
106781,1
106787,1
106793,1
106797,1
106800,1
106803,1
106822,1
106834,1
106836,1
106842,1
106845,1
106848,1
106851,1
106864,1
106869,1
106872,1
106874,1
106877,1
106885,1
106887,1
106893,1
106897,1
106899,1
106903,1
106905,1
106907,1
106936,1
106965,1
106968,1
106973,1
106980,1
106982,1
106984,1
106986,1
106988,1
106990,1
106992,1
106994,1
106997,1
106999,1
107001,1
107003,1
107005,1
107007,1
107009,1
107011,1
107013,1
107015,1
107017,1
107019,1
107021,1
107023,1
107025,1
107027,1
107029,1
107031,1
107037,1
107043,1
107046,1
107049,1
107056,1
107068,1
107074,1
107091,1
107094,1
107097,1
107099,1
107103,1
107107,1
107111,1
107113,1
107115,1
107117,1
107120,1
107133,1
107138,1
107142,1
107169,1
107172,1
107175,1
107182,1
107194,1
107196,1
107202,1
107204,1
107210,1
107218,1
107232,1
107243,1
107857,1
107906,1
107908,1
107912,1
107915,1
107917,1
107922,1
107924,1
107930,1
107937,1
107939,1
107945,1
107947,1
107951,1
107953,1
107957,1
107959,1
107961,1
107963,1
107967,1
107973,1
107979,1
107983,1
108010,1
108013,1
108016,1
108022,1
108024,1
108031,1
108043,1
108045,1
108051,1
108053,1
108055,1
108063,1
108069,1
108071,1
108073,1
108077,1
108081,1
108091,1
108096,1
108098,1
108100,1
108102,1
108104,1
108106,1
108108,1
108112,1
108114,1
108121,1
108125,1
108127,1
108131,1
108133,1
108135,1
108137,1
108139,1
108141,1
108143,1
108145,1
108147,1
108149,1
108153,1
108155,1
108157,1
108159,1
108163,1
108165,1
108167,1
108171,1
108173,1
108175,1
108179,1
108181,1
108183,1
108185,1
108191,1
108193,1
108195,1
108197,1
108199,1
108203,1
108205,1
108209,1
108212,1
108219,1
108238,1
108348,1
108444,1
108483,1
108528,1
108538,1
108546,1
108559,1
108690,1
108711,1
108713,1
108767,1
108772,1
108776,1
108780,1
108782,1
108785,1
108786,1
108800,1
108803,1
108841,1
108843,1
108849,1
108860,1
108886,1
108888,1
108894,1
108903,1
108934,1
108936,1
108941,1
108950,1
108991,1
108997,1
108999,1
109002,1
109004,1
109006,1
109009,1
109013,1
109015,1
109018,1
109026,1
109028,1
109033,1
109037,1
109039,1
109044,1
109048,1
109052,1
109057,1
109118,1
109130,1
109144,1
109154,1
109156,1
109160,1
109162,1
109164,1
109166,1
109170,1
109175,1
109177,1
109179,1
109223,1
109227,1
109273,1
109381,1
109459,1
109468,1
109496,1
109503,1
109518,1
109523,1
109550,1
109591,1
109758,1
109834,1
109841,1
109845,1
109849,1
109853,1
109862,1
109887,1
109912,1
109939,1
109960,1
109971,1
110048,1
110153,1
110159,1
110243,1
110251,1
110342,1
110345,1
110359,1
110393,1
110411,1
110429,1
110463,1
110476,1
110489,1
110491,1
110494,1
110497,1
110500,1
110503,1
110506,1
110509,1
110512,1
110515,1
110516,1
110523,1
110538,1
110553,1
110558,1
110589,1
110594,1
110598,1
110602,1
110616,1
110630,1
110650,1
110656,1
110669,1
110675,1
110681,1
110684,1
110707,1
110729,1
110738,1
110750,1
110761,1
110767,1
110773,1
110796,1
110808,1
110819,1
110833,1
110847,1
110852,1
110855,1
110857,1
110859,1
110861,1
110867,1
110869,1
110871,1
110875,1
110877,1
110879,1
110881,1
110886,1
110895,1
110906,1
110917,1
110933,1
110944,1
110955,1
110969,1
110984,1
110985,1
111033,1
111037,1
111043,1
111052,1
111061,1
111089,1
111098,1
111099,1
111119,1
111137,1
111152,1
111156,1
111160,1
111165,1
111177,1
111181,1
111185,1
111186,1
111194,1
111202,1
111211,1
111221,1
111226,1
111233,1
111239,1
111247,1
111276,1
111290,1
111304,1
111313,1
111320,1
111321,1
111333,1
111334,1
111346,1
111353,1
111358,1
111365,1
111366,1
111378,1
111384,1
111385,1
111397,1
111402,1
111424,1
111454,1
111471,1
111487,1
111490,1
111513,1
111516,1
111518,1
111520,1
111522,1
111524,1
111526,1
111535,1
111538,1
111551,1
111564,1
111590,1
111596,1
111632,1
111685,1
111688,1
111713,1
111716,1
111719,1
111725,1
111729,1
111735,1
111737,1
111743,1
111784,1
111793,1
111795,1
111805,1
111811,1
111839,1
111853,1
111867,1
111870,1
111872,1
111874,1
111876,1
111878,1
111918,1
111971,1
112002,1
112031,1
112039,1
112044,1
112046,1
112047,1
112054,1
112057,1
112060,1
112063,1
112065,1
112100,1
112116,1
112128,1
112140,1
112184,1
112239,1
112261,1
112268,1
112280,1
112335,1
112497,1
112502,1
112507,1
112511,1
112515,1
112517,1
112525,1
112530,1
112545,1
112553,1
112577,1
112594,1
112612,1
112636,1
112645,1
112647,1
112656,1
112679,1
112682,1
112685,1
112687,1
112690,1
112692,1
112694,1
112696,1
112698,1
112700,1
112703,1
112705,1
112707,1
112711,1
112713,1
112716,1
112718,1
112720,1
112722,1
112724,1
112726,1
112728,1
112730,1
112732,1
112734,1
112735,1
112740,1
112742,1
112744,1
112750,1
112763,1
112766,1
112768,1
112770,1
112773,1
112782,1
112784,1
112787,1
112790,1
112793,1
112796,1
112803,1
112806,1
112809,1
112812,1
112816,1
112820,1
112822,1
112824,1
112826,1
112828,1
112830,1
112832,1
112844,1
112848,1
112852,1
112854,1
112859,1
112861,1
112863,1
112865,1
112867,1
112869,1
112871,1.054146
112873,1
112875,1
112877,1
112879,1
112882,1
112885,1
112886,1
112893,1
112897,1
112899,1
112904,1
112909,1
112919,1
112921,1
112923,1
112925,1
112927,1
112949,1
112971,1
112993,1
112998,1
113008,1
113013,1
113017,1
113021,1
113025,1
113027,1
113029,1
113031,1
113033,1
113039,1
113045,1
113051,1
113063,1
113069,1
113077,1
113081,1
113085,1
