Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:Lost Keepsakes|r|nRecover stolen keepsakes from invading kobolds!,3,122390,51
|cnWHITE_FONT_COLOR:Swarming Kobolds|r|nKobolds have taken over Kriegval's Rest and need to be kicked out!,4,122392,51
|cnWHITE_FONT_COLOR:Dagran's Day Out|r|nDagran Thaurissan II is looking for help to get some in the field training.,5,122393,51
|cnWHITE_FONT_COLOR:NYI|r|n,6,122394,51
|cnWHITE_FONT_COLOR:Dark Ritual|r|nThe Order of Night are performing a profane ritual to corrupt the area!,7,122376,59
|cnWHITE_FONT_COLOR:Kyron's Assault|r|nGreat Kyron is launching an assault on Nightfall Sanctum and needs your help!,8,122377,59
|cnWHITE_FONT_COLOR:Signal Noise|r|nFinish the job of slain lamplighters to rescue hostages from the Order of Night.,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:Torture Victims|r|nEvolved Nerubians are torturing prisoners within the Underkeep.,11,122380,60
|cnWHITE_FONT_COLOR:Weaver Rescue|r|nThree of the Weaver's agents are being held captive within the Underkeep.,12,122382,60
|cnWHITE_FONT_COLOR:Evolved Research|r|nAn evolved nerubian researcher is performing twisted experiments.,13,122384,60
|cnWHITE_FONT_COLOR:Runaway Evolution|r|nAn experiment in the Underkeep has gone wrong and threatens to escape out.,14,122385,60
|cnWHITE_FONT_COLOR:Lost Miners|r|nRescue a group of earthen miners who have been captured by fungarians.,15,122386,50
|cnWHITE_FONT_COLOR:Spreading Decay|r|nA Kirin Tor mage is trying to push back the spreading fungarian decay.,16,122387,50
|cnWHITE_FONT_COLOR:Explorer's Competition|r|nMembers of the Explorers' League have begun a friendly competition deep within the cave.,17,122388,50
|cnWHITE_FONT_COLOR:NYI|r|n,18,122389,50
|cnWHITE_FONT_COLOR:Missing Pigs|r|nA farmer's pigs have gone missing in the caverns and needs to be recovered.,19,122332,58
|cnWHITE_FONT_COLOR:The Great Scavenger Hunt|r|nChef Dinaire is hosting a scavenger hunt.,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:Mushroom Morsel|r|nAliya Hillhelm needs help recovering a mushroom from a particularly nasty monster.,22,122335,58
|cnWHITE_FONT_COLOR:Captured Engineers|r|nKobolds have taken over the Waterworks and kidnapped the engineers that help run it.,23,122395,52
|cnWHITE_FONT_COLOR:Trust Issues|r|nAid a kobold and a machine speaker in recovering treasures within the Waterworks.,24,122396,52
|cnWHITE_FONT_COLOR:Stomping Some Sense|r|nThe machine speakers need help testing a device to recover stolen materials.,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:Illusory Rescue|r|nRescue Arathor who have been kidnapped by the Kobyss.,27,122400,53
