ID,PhaseID,UiMapArtID,UiMapID
1028,0,91,86
1055,0,118,113
1056,0,119,114
1057,0,120,115
1058,0,121,116
1059,0,122,117
1060,0,123,118
1061,0,124,119
1062,0,125,120
1063,0,126,121
1065,0,128,123
1066,0,129,124
1067,0,130,125
1068,0,131,126
1069,0,132,127
1070,0,133,128
1071,0,134,129
1072,0,135,130
1073,0,136,131
1074,0,137,132
1075,0,138,133
1076,0,139,134
1077,0,140,135
1078,0,141,136
1079,0,142,137
1080,0,143,138
1081,0,144,139
1082,0,145,140
1083,0,146,141
1084,0,147,142
1085,0,148,143
1086,0,149,144
1087,0,150,145
1088,0,151,146
1089,0,152,147
1090,0,153,148
1091,0,154,149
1092,0,155,150
1093,0,156,151
1094,0,157,152
1095,0,158,153
1096,0,159,154
1097,0,160,155
1098,0,161,156
1099,0,162,157
1100,0,163,158
1101,0,164,159
1102,0,165,160
1103,0,166,161
1104,0,167,162
1105,0,168,163
1106,0,169,164
1107,0,170,165
1108,0,171,166
1109,0,172,167
1110,0,173,168
1111,0,174,169
1112,0,175,170
1113,0,176,171
1114,0,177,172
1115,0,178,173
1116,0,179,174
1121,0,184,179
1125,0,188,183
1126,0,189,184
1127,0,190,185
1128,0,191,186
1129,0,192,187
1130,0,193,188
1131,0,194,189
1132,0,195,190
1133,0,196,191
1134,0,197,192
1135,0,198,193
1136,0,199,194
1140,0,203,198
1141,0,204,199
1142,0,205,200
1143,0,206,201
1144,0,207,202
1145,0,208,203
1146,0,209,204
1147,0,210,205
1148,0,211,206
1149,0,212,207
1152,0,215,210
1159,0,228,217
1160,0,229,218
1166,0,235,224
1183,0,252,241
1186,0,255,244
1187,0,256,245
1191,0,260,249
1217,0,286,275
1218,0,287,276
1219,0,288,277
1224,0,294,282
1225,0,295,283
1226,0,296,284
1227,0,297,285
1228,0,298,286
1235,0,305,293
1236,0,306,294
1237,0,307,295
1238,0,308,296
1239,0,309,297
1240,0,310,298
1241,0,311,299
1264,0,334,322
1265,0,335,323
1266,0,336,324
1267,0,337,325
1269,0,339,327
1270,0,340,328
1280,0,350,338
1282,0,352,340
1283,0,353,341
1284,0,354,342
1285,0,355,343
1286,0,356,344
1287,0,357,345
1288,0,358,346
1290,0,360,348
1291,0,361,349
1309,0,379,367
1310,0,380,368
1311,0,381,369
1312,0,382,370
1339,0,409,397
1340,0,410,398
1341,0,411,399
1342,0,412,400
1343,0,413,401
1344,0,414,402
1345,0,415,403
1346,0,416,404
1347,0,417,405
1348,0,418,406
1349,0,419,407
1351,0,421,409
1352,0,422,410
1353,0,423,411
1354,0,424,412
1355,0,425,413
1356,0,426,414
1357,0,427,415
1882,0,969,946
1883,0,970,947
1884,0,293,948
1885,165,227,198
1916,52,216,179
1917,53,216,179
1918,54,220,179
1919,122,220,179
1920,141,225,174
1921,142,225,174
1922,161,225,174
1923,162,226,174
1924,163,226,174
1925,164,226,174
1927,229,338,241
1928,238,338,241
1929,247,338,241
1930,297,289,249
1931,367,289,249
1960,0,988,987
1961,0,989,988
2325,0,145,1375
2409,0,1194,1411
2410,0,1200,1412
2411,0,1202,1413
2412,0,1203,1414
2413,0,1204,1415
2415,0,1206,1417
2416,0,1207,1418
2417,0,1209,1419
2418,0,1210,1420
2419,0,1211,1421
2420,0,1212,1422
2421,0,1213,1423
2422,0,1214,1424
2423,0,1215,1425
2424,0,1216,1426
2425,0,1220,1427
2426,0,1224,1428
2427,0,1228,1429
2428,0,1233,1430
2429,0,1235,1431
2430,0,1236,1432
2431,0,1237,1433
2432,0,1238,1434
2433,0,1239,1435
2434,0,1240,1436
2435,0,1243,1437
2436,0,1244,1438
2437,0,1247,1439
2438,0,1248,1440
2439,0,1249,1441
2440,0,1250,1442
2441,0,1251,1443
2442,0,1252,1444
2443,0,1253,1445
2444,0,1254,1446
2445,0,1259,1447
2446,0,1260,1448
2447,0,1261,1449
2448,0,1263,1450
2449,0,1264,1451
2450,0,1266,1452
2451,0,1267,1453
2452,0,1268,1454
2453,0,1269,1455
2454,0,1270,1456
2455,0,1271,1457
2456,0,1272,1458
2457,0,1273,1459
2458,0,1274,1460
2459,0,1275,1461
2463,0,1278,1463
2464,0,1279,1464
2903,0,1628,1941
2904,0,1629,1942
2905,0,1631,1943
2906,0,1633,1944
2907,0,1634,1945
2908,0,1635,1946
2909,0,1636,1947
2910,0,1637,1948
2911,0,1638,1949
2912,0,1639,1950
2913,0,1640,1951
2914,0,1641,1952
2915,0,1642,1953
2916,0,1643,1954
2917,0,1644,1955
2918,0,1645,1956
2919,0,1646,1957
3033,0,1740,2104
