ID,NarrowScreenFileDataID,WideScreenFileDataID,WideScreen169FileDataID
3,131848,0,0
4,131839,0,0
21,131829,0,0
23,131838,0,0
25,131840,0,0
42,131866,0,0
61,131863,0,0
81,131850,0,0
82,131835,0,0
101,131871,0,0
102,131868,0,0
103,131824,0,0
104,131861,0,0
122,131883,0,0
141,131827,0,0
142,131833,0,0
143,131882,0,0
144,131876,0,0
145,131864,0,0
146,131885,0,0
161,131886,0,0
181,131831,0,0
182,131843,0,0
183,131820,0,0
184,131818,0,0
185,131819,0,0
186,131870,0,0
187,131823,0,0
188,131865,0,0
189,131825,0,0
190,131852,0,0
191,131872,0,0
192,131851,0,0
193,131841,0,0
194,131870,0,0
195,131862,0,0
196,131823,0,0
197,131854,0,0
198,131860,0,0
199,131844,0,0
200,131849,0,0
201,131821,0,0
202,131834,0,0
203,131869,0,0
204,131869,0,0
205,131834,0,0
206,131875,0,0
207,131832,0,0
208,131846,0,0
209,131830,0,0
210,131855,0,0
212,131830,0,0
213,131842,0,0
214,131884,0,0
215,131826,0,0
216,131858,0,0
217,131867,0,0
218,131828,0,0
219,131853,0,0
220,131880,0,0
221,131881,0,0
222,131859,0,0
223,131874,0,0
224,131874,0,0
225,131873,0,0
226,131856,0,0
227,131857,0,0
228,131836,0,0
229,131822,0,0
230,131877,0,0
231,131878,0,0
232,236056,0,0
233,236060,0,0
234,236056,0,0
235,236058,0,0
236,236062,0,0
237,236061,0,0
238,236063,0,0
239,236057,0,0
240,236064,0,0
242,236059,0,0
243,236065,0,0
244,131879,0,0
245,309885,0,0
246,310729,0,0
247,311102,0,0
249,317257,0,0
250,318964,0,0
252,335909,0,0
253,336388,0,0
254,365622,0,0
