ID,CraftingOrderID,LabelID
13,739,3728
14,739,3744
15,739,3746
16,769,3728
17,769,3744
18,769,3746
19,770,3728
20,770,3744
21,770,3749
22,768,3728
23,768,3745
24,758,3728
25,758,3744
26,758,3746
27,759,3728
28,759,3744
29,759,3746
30,760,3728
31,760,3744
32,760,3746
33,761,3728
34,761,3744
35,761,3746
36,756,3728
37,756,3744
38,756,3746
39,762,3728
40,762,3744
41,762,3746
42,752,3728
43,752,3744
44,752,3746
45,753,3728
46,753,3744
47,753,3746
48,755,3728
49,755,3744
50,755,3746
51,754,3728
52,754,3744
53,754,3746
57,765,3728
58,765,3744
59,765,3748
60,764,3728
61,764,3744
62,764,3748
63,766,3728
64,766,3744
65,766,3748
66,767,3728
67,767,3744
68,767,3748
69,741,3728
70,741,3744
71,741,3749
72,750,3728
73,750,3744
74,750,3749
75,743,3728
76,743,3744
77,743,3749
78,745,3728
79,745,3744
80,745,3749
81,742,3728
82,742,3744
83,742,3749
84,747,3728
85,747,3744
86,747,3749
87,748,3728
88,748,3744
89,748,3749
90,744,3728
91,744,3744
92,744,3749
93,751,3728
94,751,3744
95,751,3749
96,746,3728
97,746,3744
98,746,3749
99,749,3728
100,749,3744
101,749,3749
102,1236,3729
103,1236,3751
104,1237,3729
105,1237,3750
106,1228,3729
107,1228,3751
108,1229,3729
109,1229,3750
110,1230,3729
111,1230,3750
112,1230,3775
113,1222,3729
114,1222,3750
115,1222,3775
116,1234,3729
117,1234,3751
118,1234,3734
119,1235,3729
120,1235,3750
121,1235,3734
122,1226,3729
123,1226,3751
124,1226,3734
125,1227,3729
126,1227,3750
127,1227,3734
128,1231,3729
129,1231,3751
130,1231,3776
131,1223,3729
132,1223,3751
133,1223,3776
137,1246,3729
138,1246,3744
139,1246,3737
140,1232,3729
141,1232,3751
142,1232,3777
143,1224,3729
144,1224,3751
145,1224,3777
146,1233,3729
147,1233,3750
148,1233,3735
149,1225,3729
150,1225,3750
151,1225,3735
152,1184,3729
153,1184,3752
154,1184,3754
155,1187,3729
156,1187,3752
157,1187,3759
158,1188,3729
159,1188,3752
160,1188,3756
161,1189,3729
162,1189,3752
163,1189,3760
164,1194,3729
165,1194,3752
166,1194,3762
167,1195,3729
168,1195,3752
169,1195,3756
170,1197,3729
171,1197,3752
172,1197,3753
173,1192,3729
174,1192,3752
175,1192,3755
176,1186,3729
177,1186,3752
178,1186,3765
179,1180,3729
180,1180,3738
181,1180,3742
182,1175,3729
183,1175,3738
184,1175,3742
185,1183,3729
186,1183,3738
187,1183,3742
188,1179,3729
189,1179,3738
190,1179,3742
191,1196,3729
192,1196,3752
193,1196,3761
194,1191,3729
195,1191,3752
196,1191,3753
197,1185,3729
198,1185,3752
199,1185,3754
200,1190,3729
201,1190,3752
202,1190,3757
203,1181,3729
204,1181,3738
205,1181,3742
206,1178,3729
207,1178,3752
208,1178,3771
209,1182,3729
210,1182,3738
211,1182,3742
212,1193,3729
213,1193,3752
214,1193,3765
215,1177,3729
216,1177,3738
217,1177,3742
218,1176,3729
219,1176,3738
220,1176,3742
221,1205,3729
222,1205,3752
223,1205,3754
224,1200,3729
225,1200,3738
226,1200,3742
227,1201,3729
228,1201,3738
229,1201,3742
230,854,3729
231,854,3738
232,854,3742
233,855,3729
234,855,3738
235,855,3742
236,856,3729
237,856,3738
238,856,3742
239,857,3729
240,857,3738
241,857,3742
242,858,3729
243,858,3738
244,858,3742
245,859,3729
246,859,3738
247,859,3742
248,860,3729
249,860,3738
250,860,3742
251,861,3729
252,861,3738
253,861,3742
254,1254,3729
255,1254,3752
256,1254,3753
257,1258,3729
258,1258,3752
259,1258,3753
260,1255,3729
261,1255,3752
262,1255,3754
263,1259,3729
264,1259,3752
265,1259,3754
266,1256,3729
267,1256,3752
268,1256,3756
269,1261,3729
270,1261,3752
271,1261,3757
272,1260,3729
273,1260,3752
274,1260,3765
275,1257,3729
276,1257,3752
277,1257,3771
278,1207,3729
279,1207,3752
280,1207,3754
281,1210,3729
282,1210,3752
283,1210,3761
284,1209,3729
285,1209,3752
286,1209,3755
287,1208,3729
288,1208,3752
289,1208,3757
290,1218,3729
291,1218,3738
292,1218,3742
293,1213,3729
294,1213,3738
295,1213,3742
296,1221,3729
297,1221,3738
298,1221,3742
299,1217,3729
300,1217,3738
301,1217,3742
302,1211,3729
303,1211,3752
304,1211,3753
305,1206,3729
306,1206,3752
307,1206,3754
308,1219,3729
309,1219,3738
310,1219,3742
311,1216,3729
312,1216,3752
313,1216,3771
314,1220,3729
315,1220,3738
316,1220,3742
317,1212,3729
318,1212,3752
319,1212,3760
320,1215,3729
321,1215,3738
322,1215,3742
323,1214,3729
324,1214,3738
325,1214,3742
326,1172,3729
327,1172,3745
328,1171,3729
329,1171,3745
330,1174,3729
331,1174,3745
332,1173,3729
333,1173,3745
338,1240,3729
339,1240,3737
340,1240,3744
341,1239,3729
342,1239,3737
343,1239,3744
344,1241,3729
345,1241,3737
346,1241,3744
347,1242,3729
348,1242,3737
349,1242,3744
350,1243,3729
351,1243,3737
352,1243,3744
353,1244,3729
354,1244,3737
355,1244,3744
356,1247,3729
357,1247,3737
358,1247,3744
359,1016,3730
360,1016,3737
361,1016,3744
362,1015,3730
363,1015,3737
364,1015,3744
365,1014,3730
366,1014,3737
367,1014,3744
368,1013,3730
369,1013,3737
370,1013,3744
371,1012,3730
