ID,MapID,SoundOverrideID,MusicOverrideID,ChunkX,ChunkY,SubchunkX,SubchunkY
425692,2807,475,0,34,29,6,4
425693,2807,475,0,34,29,6,5
427762,2856,478,0,42,28,5,14
427763,2856,478,0,42,28,6,15
427764,2856,478,0,42,28,5,15
427765,2856,478,0,42,29,7,0
427766,2856,478,0,42,28,7,15
427767,2856,478,0,42,29,0,0
427768,2856,478,0,42,29,7,1
427769,2856,478,0,42,28,1,15
427770,2856,478,0,41,28,14,14
427771,2856,478,0,42,28,2,15
427772,2856,478,0,42,29,1,1
427773,2856,478,0,42,29,5,1
427774,2856,478,0,41,29,14,0
427775,2856,478,0,42,28,6,14
427776,2856,478,0,42,29,5,0
427777,2856,478,0,42,29,6,1
427778,2856,478,0,41,28,14,15
427779,2856,478,0,41,29,15,0
427780,2856,478,0,41,28,15,15
427781,2856,478,0,42,28,0,15
427782,2856,478,0,42,29,6,0
427783,2856,479,0,43,27,2,8
427784,2856,479,0,42,29,11,9
427785,2856,479,0,43,28,0,11
427786,2856,479,0,43,28,5,14
427787,2856,479,0,43,27,0,15
427788,2856,479,0,42,28,15,11
427789,2856,479,0,42,29,15,5
427790,2856,479,0,42,27,15,15
427791,2856,479,0,43,28,5,13
427792,2856,479,0,42,29,13,9
427793,2856,479,0,42,29,11,1
427794,2856,479,0,43,27,1,14
427795,2856,479,0,42,29,15,6
427796,2856,479,0,43,28,4,13
427797,2856,479,0,42,29,11,0
427798,2856,479,0,43,28,4,15
427799,2856,479,0,43,27,0,8
427800,2856,479,0,43,29,6,3
427801,2856,479,0,42,27,12,13
427802,2856,479,0,42,29,10,0
427803,2856,479,0,42,29,12,0
427804,2856,479,0,42,27,15,14
427805,2856,479,0,43,28,3,9
427806,2856,479,0,43,27,2,6
427807,2856,479,0,43,27,0,13
427808,2856,479,0,42,29,14,3
427809,2856,479,0,43,27,0,7
427810,2856,479,0,43,27,1,7
427811,2856,479,0,42,27,12,12
427812,2856,479,0,43,27,2,7
427813,2856,479,0,42,29,11,7
427814,2856,479,0,43,27,1,8
427815,2856,479,0,42,28,15,10
427816,2856,479,0,43,27,1,13
