ID,Flags,DefaultPriority,DefaultPriorityPenalty,DefaultVolume,DefaultPlaybackLimit,BusEnumID,Parent
1,0,128,0,1,128,22,0
2,0,120,0,0.95,254,0,1
3,0,20,0,0.9,35,2,1
4,1,20,0,0.95,20,1,1
5,1,50,0,1,65,24,2
6,0,140,0,1,5,25,5
7,0,223,0,1,5,26,5
8,0,60,0,0.75,10,27,5
9,0,80,0,1,20,28,5
10,0,225,0,1,3,29,5
11,0,60,0,1,25,30,5
12,0,40,0,0.75,40,31,2
13,1,40,0,1,20,3,1
14,0,100,0,0.85,65,36,2
15,0,80,0,0.9,30,38,2
16,0,140,0,0.9,3,34,12
17,0,80,0,1,20,49,15
18,0,100,0,1,2,39,14
19,0,225,0,1,3,35,12
20,1,128,0,1,5,11,13
22,0,230,30,1,5,32,12
24,0,120,0,1,4,37,14
25,1,1,0,1,30,6,1
26,1,128,0,1,20,8,4
27,0,128,0,1,15,7,2
28,0,219,0,0.9,35,9,3
29,1,128,0,1,30,10,1
184,0,180,0,1,15,40,12
185,0,100,0,1,15,43,14
186,0,200,0,1,6,48,12
187,0,80,0,1,8,47,5
188,0,223,0,1,5,45,14
189,0,240,0,1,3,41,12
190,0,225,0,1,4,44,14
191,0,160,0,0.7,20,46,12
192,0,100,0,1,15,42,14
193,1,30,0,1,20,33,2
197,0,245,30,0.9,30,54,2
198,0,50,0,1,5,55,5
209,0,210,30,1,20,56,12
210,0,80,0,0.5,6,57,15
211,0,200,0,1,25,58,2
213,1,10,0,1,75,5,1
224,0,190,0,1,5,60,12
225,0,90,0,0.6,3,59,5
226,0,130,0,1,5,61,14
227,0,128,0,1,255,22,0
228,1,40,0,1,20,3,227
229,1,128,0,1,5,11,228
230,0,20,0,1,20,2,227
231,0,128,0,1,20,9,230
232,1,128,0,1,30,6,227
233,1,128,0,1,30,10,227
234,0,120,0,0.95,254,0,227
235,0,200,0,1,50,58,234
236,0,245,30,0.9,25,54,234
237,1,30,0,1,15,33,234
238,0,100,0,0.85,80,36,234
239,0,120,0,1,10,37,238
240,0,100,0,1,15,43,238
241,0,100,0,1,15,42,238
242,0,120,0,1,10,45,238
243,0,140,0,1,10,44,238
244,0,100,0,1,15,39,238
245,0,130,0,1,10,61,238
246,0,128,0,1,15,7,234
