Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,OrderIndex,UiOrderIndex,Flags,SwatchColor[0],SwatchColor[1]
,17160,9,141,0,0,0,0,0
,17161,9,141,1,1,0,0,0
,17162,9,141,2,2,0,0,0
,17163,9,141,3,3,0,0,0
,17164,9,141,4,4,0,0,0
,17165,9,141,5,5,0,0,0
,17166,9,141,6,6,0,0,0
,17167,9,141,7,7,0,0,0
,17168,9,141,8,8,0,0,0
,17169,9,141,9,9,0,0,0
,17170,9,12,10,10,0,0,0
,17171,9,12,11,11,0,0,0
,17172,10,144,0,0,0,0,0
,17173,10,144,1,1,0,0,0
,17174,10,144,2,2,0,0,0
,17175,10,144,3,3,0,0,0
,17176,10,144,4,4,0,0,0
,17177,10,144,5,5,0,0,0
,17178,10,144,6,6,0,0,0
,17179,10,144,7,7,0,0,0
,17180,10,144,8,8,0,0,0
,17181,10,144,9,9,0,0,0
,17182,10,144,10,10,0,0,0
,17183,10,144,11,11,0,0,0
,17184,11,141,0,0,0,0,0
,17185,11,141,1,1,0,0,0
,17186,11,141,2,2,0,0,0
,17187,11,141,3,3,0,0,0
,17188,11,141,4,4,0,0,0
,17189,11,141,5,5,0,0,0
,17190,11,141,6,6,0,0,0
,17191,11,141,7,7,0,0,0
,17192,11,141,8,8,0,0,0
,17193,11,141,9,9,0,0,0
,17194,11,141,10,10,0,0,0
,17195,11,141,11,11,0,0,0
,17196,12,141,0,0,0,0,0
,17197,12,141,1,1,0,0,0
,17198,12,141,2,2,0,0,0
,17199,12,141,3,3,0,0,0
,17200,12,141,4,4,0,0,0
,17201,12,141,5,5,0,0,0
,17202,12,141,6,6,0,0,0
,17203,12,141,7,7,0,0,0
,17204,12,141,8,8,0,0,0
,17205,12,141,9,9,0,0,0
,17206,13,141,0,0,0,0,0
,17207,13,141,1,1,0,0,0
,17208,13,141,2,2,0,0,0
,17209,13,141,3,3,0,0,0
,17210,13,141,4,4,0,0,0
,17211,13,141,5,5,0,0,0
,17212,13,141,6,6,0,0,0
,17213,13,141,7,7,0,0,0
,17214,13,141,8,8,0,0,0
,17215,14,141,0,0,0,0,0
,17216,14,141,1,1,0,0,0
,17217,14,141,2,2,0,0,0
,17218,14,141,3,3,0,0,0
,17219,14,141,4,4,0,0,0
,17220,14,141,5,5,0,0,0
,17221,14,141,6,6,0,0,0
,17222,14,141,7,7,0,0,0
,17223,14,141,8,8,0,0,0
,17224,14,141,9,9,0,0,0
,17225,14,12,10,10,0,0,0
,17226,14,12,11,11,0,0,0
,17227,15,144,0,0,0,0,0
,17228,15,144,1,1,0,0,0
,17229,15,144,2,2,0,0,0
,17230,15,144,3,3,0,0,0
,17231,15,144,4,4,0,0,0
,17232,15,144,5,5,0,0,0
,17233,15,144,6,6,0,0,0
,17234,15,144,7,7,0,0,0
,17235,15,144,8,8,0,0,0
,17236,15,144,9,9,0,0,0
,17237,15,144,10,10,0,0,0
,17238,15,144,11,11,0,0,0
,17239,15,144,12,12,0,0,0
,17240,15,144,13,13,0,0,0
,17241,15,144,14,14,0,0,0
,17242,16,141,0,0,0,0,0
,17243,16,141,1,1,0,0,0
,17244,16,141,2,2,0,0,0
,17245,16,141,3,3,0,0,0
,17246,16,141,4,4,0,0,0
,17247,16,141,5,5,0,0,0
,17248,16,141,6,6,0,0,0
,17249,16,141,7,7,0,0,0
,17250,16,141,8,8,0,0,0
,17251,16,141,9,9,0,0,0
,17252,16,141,10,10,0,0,0
,17253,16,141,11,11,0,0,0
,17254,16,141,12,12,0,0,0
,17255,16,141,13,13,0,0,0
,17256,16,141,14,14,0,0,0
,17257,16,141,15,15,0,0,0
,17258,16,141,16,16,0,0,0
,17259,16,141,17,17,0,0,0
,17260,16,141,18,18,0,0,0
,17261,17,141,0,0,0,0,0
,17262,17,141,1,1,0,0,0
,17263,17,141,2,2,0,0,0
,17264,17,141,3,3,0,0,0
,17265,17,141,4,4,0,0,0
,17266,17,141,5,5,0,0,0
,17267,17,141,6,6,0,0,0
,17268,17,141,7,7,0,0,0
,17269,17,141,8,8,0,0,0
,17270,17,141,9,9,0,0,0
,17271,18,141,0,0,0,0,0
,17272,18,141,1,1,0,0,0
,17273,18,141,2,2,0,0,0
,17274,18,141,3,3,0,0,0
,17275,18,141,4,4,0,0,0
,17276,18,141,5,5,0,0,0
,17277,18,141,6,6,0,0,0
,17278,19,141,0,0,0,0,0
,17279,19,141,1,1,0,0,0
,17280,19,141,2,2,0,0,0
,17281,19,141,3,3,0,0,0
,17282,19,141,4,4,0,0,0
,17283,19,141,5,5,0,0,0
,17284,19,141,6,6,0,0,0
,17285,19,141,7,7,0,0,0
,17286,19,141,8,8,0,0,0
,17287,19,12,9,9,0,0,0
,17288,19,12,10,10,0,0,0
,17289,19,12,11,11,0,0,0
,17290,19,12,12,12,0,0,0
,17291,19,12,13,13,0,0,0
,17292,19,12,14,14,0,0,0
,17293,20,144,0,0,0,0,0
,17294,20,144,1,1,0,0,0
,17295,20,144,2,2,0,0,0
,17296,20,144,3,3,0,0,0
,17297,20,144,4,4,0,0,0
,17298,20,144,5,5,0,0,0
,17299,20,144,6,6,0,0,0
,17300,20,144,7,7,0,0,0
,17301,20,144,8,8,0,0,0
,17302,21,141,0,0,0,0,0
,17303,21,141,1,1,0,0,0
,17304,21,141,2,2,0,0,0
,17305,21,141,3,3,0,0,0
,17306,21,141,4,4,0,0,0
,17307,21,141,5,5,0,0,0
,17308,21,141,6,6,0,0,0
,17309,22,141,0,0,0,0,0
,17310,22,141,1,1,0,0,0
,17311,22,141,2,2,0,0,0
,17312,22,141,3,3,0,0,0
,17313,22,141,4,4,0,0,0
,17314,22,141,5,5,0,0,0
,17315,22,141,6,6,0,0,0
,17316,22,141,7,7,0,0,0
,17317,23,141,0,0,0,0,0
,17318,23,141,1,1,0,0,0
,17319,23,141,2,2,0,0,0
,17320,23,141,3,3,0,0,0
,17321,23,141,4,4,0,0,0
,17322,23,141,5,5,0,0,0
,17323,23,141,6,6,0,0,0
,17324,23,141,7,7,0,0,0
,17325,23,141,8,8,0,0,0
,17326,23,141,9,9,0,0,0
,17327,23,141,10,10,0,0,0
,17328,25,141,0,0,0,0,0
,17329,25,141,1,1,0,0,0
,17330,25,141,2,2,0,0,0
,17331,25,141,3,3,0,0,0
,17332,25,141,4,4,0,0,0
,17333,25,141,5,5,0,0,0
,17334,25,141,6,6,0,0,0
,17335,25,141,7,7,0,0,0
,17336,25,141,8,8,0,0,0
,17337,25,12,9,9,0,0,0
,17338,25,12,10,10,0,0,0
,17339,26,144,0,0,0,0,0
,17340,26,144,1,1,0,0,0
,17341,26,144,2,2,0,0,0
,17342,26,144,3,3,0,0,0
,17343,26,144,4,4,0,0,0
,17344,26,144,5,5,0,0,0
,17345,26,144,6,6,0,0,0
,17346,26,144,7,7,0,0,0
,17347,26,144,8,8,0,0,0
,17348,27,141,0,0,0,0,0
,17349,27,141,1,1,0,0,0
,17350,27,141,2,2,0,0,0
,17351,27,141,3,3,0,0,0
,17352,27,141,4,4,0,0,0
,17353,27,141,5,5,0,0,0
,17354,27,141,6,6,0,0,0
,17355,27,141,7,7,0,0,0
,17356,28,141,0,0,0,0,0
,17357,28,141,1,1,0,0,0
,17358,28,141,2,2,0,0,0
,17359,28,141,3,3,0,0,0
,17360,28,141,4,4,0,0,0
,17361,28,141,5,5,0,0,0
,17362,28,141,6,6,0,0,0
,17363,28,141,7,7,0,0,0
,17364,29,141,0,0,0,0,0
,17365,29,141,1,1,0,0,0
,17366,29,141,2,2,0,0,0
,17367,29,141,3,3,0,0,0
,17368,29,141,4,4,0,0,0
,17369,29,141,5,5,0,0,0
,17370,29,141,6,6,0,0,0
,17371,30,141,0,0,0,0,0
,17372,30,141,1,1,0,0,0
,17373,30,141,2,2,0,0,0
,17374,30,141,3,3,0,0,0
,17375,30,141,4,4,0,0,0
,17376,30,141,5,5,0,0,0
,17377,30,141,6,6,0,0,0
