ID,SpellID,GlyphPropertiesID
62,118,328
65,31687,1079
66,31687,1080
67,31687,1081
70,24858,613
71,197625,613
72,883,440
77,117952,1045
78,101643,1041
80,107428,1028
83,20271,989
84,20271,457
86,31884,454
87,20473,1083
88,1706,1007
89,9484,461
93,20711,1049
94,2006,1048
95,64843,1087
96,2050,1084
97,921,733
98,114051,1215
99,114052,1215
100,114050,1215
101,2645,471
102,51533,1090
103,2008,1091
105,710,761
106,29893,482
107,30146,278
108,34428,488
109,1719,483
110,1719,1101
111,100,1020
112,163201,990
114,184361,991
115,115768,486
116,6343,851
117,57330,522
118,42650,529
120,46584,1074
121,5487,432
122,768,1220
123,191034,1206
127,34433,1085
128,20271,1222
133,126,1224
134,126,1225
135,185987,1051
137,186065,1226
138,186065,1227
139,186065,1228
140,186065,1229
141,190925,1230
142,190925,1231
143,187650,1233
146,185358,1236
147,185987,1237
148,1543,1238
149,1543,1239
150,3714,1240
151,3714,1241
152,2645,1242
153,198103,1243
154,198067,1244
155,86659,1245
156,48707,1246
157,48707,1247
162,1850,1252
164,51514,1254
165,688,1255
166,712,1256
167,697,1257
168,691,1258
171,30146,1261
172,197690,1262
173,117952,1263
174,117952,1264
175,124502,1265
176,130,1266
177,190319,1267
179,118,1269
180,586,1270
181,1725,1271
182,6770,1272
183,204254,1273
184,178940,1273
185,178940,1274
186,204254,1274
188,131347,1276
189,131347,1277
190,131347,1278
191,188501,1279
192,188501,1280
193,130,1281
194,1953,1282
195,2983,1283
198,191427,1284
199,187827,1284
200,32223,190
201,193265,1232
204,190740,1268
205,6544,1286
211,112870,1261
212,112870,278
213,112866,1255
214,112868,1256
215,112867,1257
216,112869,1258
217,132603,1085
221,212641,1245
222,190784,1287
233,232698,961
234,232698,1052
239,33763,1221
240,33763,1288
241,211898,1224
242,49576,1289
243,49576,1290
244,712,1291
245,112868,1291
246,240263,1291
247,240266,1291
248,712,1292
249,112868,1292
250,240263,1292
251,240266,1292
252,240263,1256
253,240266,1256
266,246985,1296
267,246985,1297
268,246985,1298
269,34433,1299
270,132603,1299
271,34433,1300
272,132603,1300
273,34433,1301
274,132603,1301
275,254232,1085
277,254224,1085
278,254232,1300
280,254224,1300
281,254232,1301
283,254224,1301
284,254232,1299
286,254224,1299
287,47540,1302
288,190784,1303
289,190784,1304
290,190784,1305
291,190784,1306
292,53270,1253
293,53270,1234
294,53270,1235
295,77485,1295
392,31687,1407
393,31687,1408
394,275773,457
395,275779,457
396,1459,1410
398,31687,1412
399,31687,1413
400,31687,1414
401,53270,1415
402,190336,1416
409,322109,1039
410,258920,1275
411,783,1419
412,276012,1420
413,276029,1421
414,3411,1223
415,46585,1074
416,46585,514
417,46584,514
418,5308,990
419,280735,990
427,281000,990
430,145205,1423
449,366222,1424
450,366222,1425
457,2645,1426
458,2645,1427
459,366222,1291
460,366222,1256
461,366222,1292
