ID,ParamA,ParamB,CurveID,SrcValType,SrcVal,DstValType,DstVal,EntryType,Style,SrcType,DstType
1,0,0,0,1,19,0,0,0,0,0,-1
2,0,0,0,0,0,1,-1,0,0,0,-1
3,0,0,0,1,1,1,-1,0,0,0,-1
4,0,0,0,1,2,1,-1,0,0,0,-1
5,0,0,0,1,3,1,-1,0,0,0,-1
6,0,0,0,1,4,1,-1,0,0,0,-1
7,0,0,0,1,5,1,-1,0,0,0,-1
8,0,0,0,1,6,1,-1,0,0,0,-1
9,0,0,0,1,7,1,-1,0,0,0,-1
10,0,0,0,1,8,1,-1,0,0,0,-1
11,0,0,0,1,9,1,-1,0,0,0,-1
12,0,0,0,1,10,1,-1,0,0,0,-1
13,0,0,0,1,11,1,-1,0,0,0,-1
14,0,0,0,1,12,1,-1,0,0,0,-1
15,0,0,0,1,13,1,-1,0,0,0,-1
16,0,0,0,1,14,1,-1,0,0,0,-1
17,0,0,0,1,15,1,-1,0,0,0,-1
18,0,0,0,1,16,0,0,0,0,0,-1
19,0,0,0,1,17,0,0,0,0,0,-1
20,0,0,0,1,18,1,-1,0,0,0,-1
21,0,0,0,1,19,0,0,0,0,0,-1
22,0,0,0,1,20,0,0,0,0,0,-1
23,0,0,0,1,21,0,0,0,0,0,-1
24,0,0,0,1,22,0,0,0,0,0,-1
25,0,0,0,1,23,1,-1,0,0,0,-1
26,0,0,0,1,24,1,-1,0,0,0,-1
27,0,0,0,1,25,1,-1,0,0,0,-1
28,0,0,0,1,26,1,-1,0,0,0,-1
29,0,0,0,1,27,1,-1,0,0,0,-1
30,0,0,0,1,28,1,-1,0,0,0,-1
31,0,0,0,1,29,1,-1,0,0,0,-1
32,0,0,0,1,30,1,-1,0,0,0,-1
33,0,0,0,1,31,1,-1,0,0,0,-1
34,0,0,0,1,32,1,-1,0,0,0,-1
35,0,0,0,1,33,1,-1,0,0,0,-1
36,0,0,0,1,34,0,0,0,0,0,-1
37,0,0,0,1,35,1,-1,0,0,0,-1
38,0,0,0,1,36,1,36,0,1,0,0
39,0,0,0,1,37,1,-1,0,0,0,-1
40,0,0,0,1,38,1,-1,0,0,0,-1
41,0,0,0,1,39,1,-1,0,0,0,-1
42,0,0,0,1,40,1,-1,0,0,0,-1
43,0,0,0,1,41,1,-1,0,0,0,-1
44,0,0,0,1,42,1,-1,0,0,0,-1
45,0,0,0,1,43,1,-1,0,0,0,-1
46,0,0,0,1,44,1,-1,0,0,0,-1
47,0,0,0,1,45,1,-1,0,0,0,-1
48,0,0,0,1,46,1,-1,0,0,0,-1
49,0,0,0,1,47,1,-1,0,0,0,-1
50,0,0,0,1,48,1,-1,0,0,0,-1
51,0,0,0,1,49,1,-1,0,0,0,-1
52,0,0,0,1,50,1,-1,0,0,0,-1
53,0,0,0,1,51,1,-1,0,0,0,-1
54,0,0,0,1,52,1,-1,0,0,0,-1
55,0,0,0,1,53,1,-1,0,0,0,-1
56,0,0,0,1,54,1,-1,0,0,0,-1
57,0,0,0,1,-1,0,0,0,0,2,-1
58,0,0,0,1,-1,1,-1,0,0,2,-1
59,0,0,2244,1,19,1,-1,2,8,0,-1
60,0,1,0,1,21,1,22,0,2,0,0
61,0,1,0,1,48,1,47,0,2,0,0
62,0,1,0,2,102,2,103,0,2,3,3
66,0,0,0,1,-1,0,0,0,0,2,-1
67,1,0,0,0,0,0,0,2,5,-1,-1
68,0,0,0,1,19,1,-1,1,12,0,-1
69,0,0,0,1,19,0,0,1,12,0,-1
70,0,0,0,1,19,1,-1,0,0,0,-1
71,0,0,2244,1,19,1,-1,2,8,0,-1
72,0,0,0,1,19,1,-1,2,8,0,-1
75,0,0,0,1,-1,1,-1,1,12,0,-1
