Name_lang,ID,SituationEnum,Flags,TransmogSituationGroupID,OrderIndex
All Specializations,1,0,13,5,0
Specialization,2,1,19,6,0
All Locations,3,2,13,2,0
Rest Area,4,3,1,3,0
World,5,6,1,4,0
Delves,6,7,1,4,1
House,7,4,1,3,1
Character Select,8,5,1,3,2
Dungeons,9,8,1,4,2
Raids,10,9,1,4,3
Arenas,11,10,1,4,4
Battlegrounds,12,11,1,4,5
All Movement,13,12,13,7,0
Unmounted,14,13,1,8,0
Swimming,15,14,1,8,1
Ground Mount,16,15,1,8,2
Flying Mount,17,16,1,8,3
All Equipment Sets,18,17,13,9,0
Equipment Set,19,18,17,10,0
All Racial Forms,20,19,13,11,0
Native Form,21,20,17,12,0
Non Native Form,22,21,17,12,1
