ID,QuestID,FactionID,IconFileDataID,TurninPlayerConditionID,BountySetID
8,42170,1883,1394953,0,4
9,42233,1828,1394954,0,4
10,42234,1948,1394957,0,4
11,42420,1900,1394952,0,4
12,42421,1859,1394956,52924,4
13,42422,1894,1394958,0,4
26,43179,1090,1394955,0,4
27,48641,0,1708507,47404,4
28,48639,0,1708506,50280,4
29,48642,0,1708505,50280,4
30,50562,1894,2203913,55830,10
31,50598,1900,2203921,0,10
32,50599,1859,2203916,0,10
33,50600,1948,2203915,0,10
35,50602,1828,2203918,0,10
36,50603,1090,2203920,0,10
37,50604,0,2203919,0,10
40,50605,0,2203912,0,10
41,50606,0,2203914,0,10
42,50601,0,2203917,0,10
143,56120,0,2909044,70076,10
144,56119,0,2909043,70076,10
171,60424,0,3578413,0,111
172,60425,0,3578413,0,111
173,60430,0,3578413,0,111
174,60434,0,3578413,0,111
175,60439,0,3571761,0,111
176,60442,0,3571761,0,111
177,60447,0,3571761,0,111
178,60450,0,3571761,0,111
179,60465,0,3578410,0,111
180,60415,0,3578414,0,111
181,60372,0,3578414,0,111
182,60358,0,3578414,0,111
183,60377,0,3578414,0,111
184,60380,0,3578414,0,111
185,60391,0,3578411,0,111
186,60392,0,3578411,0,111
187,60395,0,3578411,0,111
188,60400,0,3578411,0,111
189,60403,0,3578412,0,111
190,60404,0,3578412,0,111
191,60407,0,3578412,0,111
192,60412,0,3578412,0,111
193,60419,0,3578425,0,114
194,60418,0,3578425,0,114
195,60420,0,3578425,0,114
196,60421,0,3578425,0,114
197,60438,0,3578429,0,114
198,60437,0,3578429,0,114
199,60436,0,3578429,0,114
200,60435,0,3578429,0,114
201,60462,0,3578428,0,114
202,60414,0,3578424,0,114
203,60369,0,3578424,0,114
204,60364,0,3578424,0,114
205,60374,0,3578424,0,114
206,60373,0,3578424,0,114
207,60381,0,3578423,0,114
208,60384,0,3578423,0,114
209,60383,0,3578423,0,114
210,60382,0,3578423,0,114
211,60388,0,3578427,0,114
212,60387,0,3578427,0,114
213,60386,0,3578427,0,114
214,60385,0,3578427,0,114
215,60423,0,3578421,0,113
216,60426,0,3578421,0,113
217,60429,0,3578421,0,113
218,60433,0,3578421,0,113
219,60440,0,3578417,0,113
220,60443,0,3578417,0,113
221,60445,0,3578417,0,113
222,60449,0,3578417,0,113
223,60464,0,3578422,0,113
224,60416,0,3578418,0,113
225,60371,0,3578418,0,113
226,60363,0,3578418,0,113
227,60376,0,3578418,0,113
228,60379,0,3578418,0,113
229,60390,0,3578420,0,113
230,60393,0,3578420,0,113
231,60396,0,3578420,0,113
232,60398,0,3578420,0,113
233,60402,0,3578419,0,113
234,60405,0,3578419,0,113
235,60408,0,3578419,0,113
236,60411,0,3578419,0,113
237,60422,0,3581873,0,112
238,60427,0,3581873,0,112
239,60431,0,3581873,0,112
240,60432,0,3581873,0,112
241,60441,0,3581877,0,112
242,60444,0,3581877,0,112
243,60446,0,3581877,0,112
244,60448,0,3581877,0,112
245,60463,0,3578435,0,112
246,60417,0,3578436,0,112
247,60370,0,3578436,0,112
248,60365,0,3578436,0,112
249,60375,0,3578436,0,112
250,60378,0,3578436,0,112
251,60389,0,3581874,0,112
252,60394,0,3581874,0,112
253,60397,0,3581874,0,112
254,60399,0,3581874,0,112
255,60401,0,3581875,0,112
256,60406,0,3581875,0,112
257,60409,0,3581875,0,112
258,60410,0,3581875,0,112
260,60458,0,3578415,0,111
261,60457,0,3578426,0,114
262,60452,0,3578426,0,114
263,60454,0,3578415,0,111
264,60459,0,3578416,0,113
265,60455,0,3578416,0,113
266,60460,0,3581876,0,112
267,60456,0,3581876,0,112
461,72298,2510,4687630,0,119
462,72381,2507,4687628,0,119
463,72382,2511,4687629,0,119
464,72383,2503,4687627,0,119
465,75932,2564,5140835,0,119
466,77885,2574,5244643,0,119
467,79628,2590,6029029,0,120
468,79636,2594,6029027,0,120
469,79655,2570,6029028,0,120
470,79659,2600,6029030,0,120
471,85085,2653,6252692,0,120
