ID,GeoBox[0],GeoBox[1],GeoBox[2],GeoBox[3],GeoBox[4],GeoBox[5],Flags,FileDataID,WalkSpeed,RunSpeed,BloodID,FootprintTextureID,FootprintTextureLength,FootprintTextureWidth,FootprintParticleScale,FoleyMaterialID,FootstepCameraEffectID,DeathThudCameraEffectID,SoundID,SizeClass,CollisionWidth,CollisionHeight,WorldEffectScale,CreatureGeosetDataID,HoverHeight,AttachedEffectScale,ModelScale,MissileCollisionRadius,MissileCollisionPush,MissileCollisionRaise,MountHeight,OverrideLootEffectScale,OverrideNameScale,OverrideSelectionRadius,TamedPetBaseScale,MountScaleOtherIndex,MountScaleSelf,Field_11_0_0_54210_032,MountScaleOther[0],MountScaleOther[1]
1,-6.0746746,-2.917286,-0.33517984,2.776131,3.0911148,2.0700817,12298,123020,2.5,8,1,7,18,12,1,0,0,0,5069,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,1.8222,0,0,0,1,0,1,0,1,1
2,-0.726862,-2.811783,-0.2924,1.90086,2.781771,2.885096,2,123105,2.5,8,1,0,18,12,1,0,0,0,2,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,1.50495,0,0,0,1,0,1,0,1,1
3,-1.457067,-0.511171,-0.004721,1.011198,0.528218,2.763926,2,123170,2.5,8,1,0,18,12,1,0,0,0,3,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,1.91177,0,0,0,1,0,1,0,1,1
5,-1.3478934,-0.47398028,-0.010816608,0.81944966,0.42342713,1.6211511,4098,123348,2.5,8,1,0,18,12,1,0,0,0,5,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
6,-0.757493,-1.193324,0.991577,0.6337,1.201044,3.190622,12297,123610,2.5,8,1,0,18,12,1,0,0,0,6,0,0.6111111,2.031278,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1
8,-0.5887372,-0.9538041,-0.0007619616,1.0840536,0.9522877,1.9705865,0,124118,2.5,8,1,7,18,12,1,0,0,0,5066,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
9,-1.8998576,-1.9247215,-0.33167496,1.4082073,1.5221804,3.1096013,4099,124155,2.5,8,7,4,18,12,1,0,0,0,9,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
10,-0.777,-0.700137,0.000479,0.731759,0.764516,1.7562,0,124173,2.5,8,1,7,18,12,1,0,0,0,5910,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,0.891646,0,0,0,1,0,1,0,1,1
11,-1.4382436,-0.7688168,0.0003186798,0.69617367,0.74952805,1.4237113,0,124272,2.5,8,1,4,18,12,1,0,0,0,5068,0,0.6111111,2.031278,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
12,-0.560316,-1.667411,0.857127,0.604706,1.697262,4.541226,1,124329,2.5,8,1,0,18,12,1,0,0,0,12,1,0.6111111,2.031278,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
13,-0.19898,-0.378926,-0.014416,0.390325,0.322053,1.896097,0,124437,2.5,8,1,1,18,12,1,0,0,0,13,1,0.50973123,2.0312655,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
14,-0.2308,-0.378927,-0.014415,0.39032,0.322057,1.883328,0,124440,2.5,8,1,1,18,12,1,0,0,0,14,1,0.50973123,2.0312655,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
