ID,Name_lang,BackgroundFile,OrderIndex,RaceMask,ClassMask,PetTalentMask,SpellIconID
41,Fire,MageFire,1,511,128,0,0
61,Frost,MageFrost,2,511,128,0,0
81,Arcane,MageArcane,0,511,128,0,0
161,Arms,WarriorArms,0,511,1,0,0
163,Protection,WarriorProtection,2,511,1,0,0
164,Fury,WarriorFury,1,511,1,0,0
181,Combat,RogueCombat,1,511,8,0,0
182,Assassination,RogueAssassination,0,511,8,0,0
183,Subtlety,RogueSubtlety,2,511,8,0,0
201,Discipline,PriestDiscipline,0,511,16,0,0
202,Holy,PriestHoly,1,511,16,0,0
203,Shadow,PriestShadow,2,511,16,0,0
261,Elemental,ShamanElementalCombat,0,511,64,0,0
262,Restoration,ShamanRestoration,2,511,64,0,0
263,Enhancement,ShamanEnhancement,1,511,64,0,0
281,Feral Combat,DruidFeralCombat,1,511,1024,0,0
282,Restoration,DruidRestoration,2,511,1024,0,0
283,Balance,DruidBalance,0,511,1024,0,0
301,Destruction,WarlockDestruction,2,511,256,0,0
302,Affliction,WarlockCurses,0,511,256,0,0
303,Demonology,WarlockSummoning,1,511,256,0,0
361,Beast Mastery,HunterBeastMastery,0,511,4,0,0
362,Survival,HunterSurvival,2,511,4,0,0
363,Marksmanship,HunterMarksmanship,1,511,4,0,0
381,Retribution,PaladinCombat,2,511,2,0,0
382,Holy,PaladinHoly,0,511,2,0,0
383,Protection,PaladinProtection,1,511,2,0,0
