ID,Map[0],Map[1],JournalEncounterID,MapDisplayConditionID,Flags,UiMapID
1613,0.6367,0.46257484,178,0,1,337
1617,0.49001998,0.34281433,168,0,1,296
1618,0.5099801,0.72455096,197,0,1,369
1620,0.3652697,0.6122755,89,0,1,291
1624,0.50499004,0.23053885,112,0,1,324
1625,0.31037956,0.5,127,0,1,299
1626,0.3702597,0.44760478,111,0,1,324
1627,0.48502997,0.39520955,185,0,1,337
1628,0.6546913,0.40269458,95,0,1,292
1629,0.63972116,0.49251497,129,0,1,299
1630,0.53992033,0.7844312,157,0,1,294
1631,0.90419334,0.5299401,191,0,1,333
1632,0.4151698,0.5523952,122,0,1,277
1633,0.6546913,0.5748503,169,0,1,285
1634,0.495389,0.660817,285,0,1,402
1636,0.47504994,0.32784426,171,0,1,286
1637,0.12475067,0.75898206,91,0,1,292
1638,0.73453194,0.7544911,167,0,1,295
1639,0.40518978,0.7739929,187,0,1,333
1640,0.40518978,0.6871258,131,0,1,293
1641,0.332957,0.850192,318,0,1,414
1642,0.50499004,0.42514968,102,0,1,323
1643,0.30039954,0.3802395,116,0,1,325
1644,0.47005993,0.6646707,107,0,1,284
1645,0.27544948,0.5748503,170,0,1,285
1646,0.35528967,0.23053885,186,0,1,333
1647,0.5,0.49251497,125,0,1,298
1648,0.567376,0.277179,322,0,1,399
1649,0.6297411,0.5973054,110,0,1,324
1650,0.6019053,0.41471136,180,0,1,337
1651,0.6437137,0.38023955,194,0,1,367
1652,0.60479087,0.7994013,176,0,1,337
1653,0.3253496,0.19311368,104,0,1,322
1654,0.7145718,0.70209587,173,0,1,286
1655,0.48003995,0.20059872,181,0,1,337
1656,0.5099801,0.53742516,175,0,1,337
1657,0.5998008,0.46257484,177,0,1,337
1658,0.30439156,0.7739521,97,0,1,311
1659,0.47504994,0.74700606,128,0,1,299
1660,0.21057922,0.32784426,192,0,1,367
1661,0.31733844,0.24550891,184,0,1,337
1662,0.66467136,0.732036,96,0,1,310
1663,0.5349303,0.19311368,156,0,1,294
1664,0.7145718,0.5299401,190,0,1,333
1665,0.8043925,0.6347306,139,0,1,282
1666,0.47504994,0.5,155,0,1,328
1667,0.27045947,0.6571857,119,0,1,277
1668,0.51996017,0.8218564,115,0,1,325
1669,0.15568893,0.6317773,140,0,1,282
1670,0.67465144,0.19311368,103,0,1,322
1671,0.2455094,0.70209587,172,0,1,286
1672,0.55489045,0.7095809,188,0,1,333
1673,0.5848307,0.23802388,189,0,1,333
1674,0.5848307,0.62724555,124,0,1,297
1675,0.4950096,0.3098805,196,0,1,367
1676,0.3752497,0.42514968,117,0,1,277
1677,0.6946116,0.19311368,133,0,1,293
1678,0.50199604,0.8682636,90,0,1,291
1682,0.515,0.3,132,0,1,293
1683,0.49301347,0.44311342,195,0,1,367
1684,0.60479087,0.4550898,93,0,1,292
1685,0.6846315,0.3353293,100,0,1,315
1686,0.47504994,0.26047897,154,0,1,328
1688,0.559097,0.392068,323,0,1,403
1690,0.5099801,0.15568852,198,0,1,369
1691,0.5499004,0.44760478,114,0,1,325
1692,0.50499004,0.21556878,101,0,1,323
1694,0.60479087,0.38772452,92,0,1,292
1701,0.42514983,0.4550898,158,0,1,295
1702,0.65369326,0.7500001,193,0,1,367
1703,0.68962157,0.50748503,109,0,1,284
1704,0.5598805,0.14071846,126,0,1,297
1705,0.66467136,0.8443115,108,0,1,284
1706,0.27045947,0.16317356,106,0,1,284
1707,0.5748506,0.38772452,113,0,1,324
1708,0.8562618,0.74700606,134,0,1,293
1709,0.47504994,0.25299394,130,0,1,299
1710,0.500329,0.45809,331,0,1,409
1711,0.67465144,0.72455096,118,0,1,277
1712,0.2804395,0.5973054,98,0,1,310
1713,0.5998008,0.51497006,179,0,1,337
1714,0.5449104,0.53742516,99,0,1,313
1715,0.479042,0.179641,339,0,1,282
1720,0.503996,0.692524,311,0,1,409
1721,0.5,0.70209587,105,0,1,283
1725,0.48003995,0.70209587,174,0,1,286
1750,0.484811,0.323013,289,0,1,406
1771,0.527504,0.520451,317,0,1,412
1786,0.463389,0.369625,291,0,1,398
1795,0.367197,0.530952,340,0,1,404
1804,0.473824,0.513754,341,0,1,400
1815,0.509638,0.530325,324,0,1,410
1837,0.407704,0.509356,342,0,1,399
1845,0.468265,0.499295,325,0,1,411
1846,0.515514,0.433775,283,0,1,405
1854,0.873028,0.482577,292,0,1,398
1871,0.237485,0.482577,290,0,1,398
1897,0.481521,0.171771,332,0,1,413
1903,0.478702,0.538485,333,0,1,415
