ID,Field_5_5_4_67090_000,Field_5_5_4_67090_001,Field_5_5_4_67090_002,Field_5_5_4_67090_003,Field_5_5_4_67090_004,Field_5_5_4_67090_005,Field_5_5_4_67090_006,Field_5_5_4_67090_007,Field_5_5_4_67090_008[0],Field_5_5_4_67090_008[1]
0,ONESHOT_NONE,0,0,0,0,0,0,-1,-1,-1
1,ONESHOT_TALK(DNR),60,136,0,0,0,0,-1,-1,-1
2,ONESHOT_BOW,66,16385,0,0,0,0,-1,-1,-1
3,ONESHOT_WAVE(DNR),67,0,0,0,0,0,-1,-1,-1
4,ONESHOT_CHEER(DNR),68,0,0,0,0,0,-1,-1,-1
5,ONESHOT_EXCLAMATION(DNR),64,160,0,0,0,0,-1,-1,-1
6,ONESHOT_QUESTION,65,144,0,0,0,0,-1,-1,-1
7,ONESHOT_EAT,61,0,0,0,0,0,-1,-1,-1
10,STATE_DANCE,69,290945,2,0,0,0,-1,-1,-1
11,ONESHOT_LAUGH,70,384,0,0,0,0,-1,-1,-1
12,STATE_SLEEP,0,25088,1,3,0,0,-1,-1,-1
13,STATE_SIT,0,25088,1,1,0,0,-1,-1,-1
14,ONESHOT_RUDE(DNR),73,1,0,0,0,0,-1,-1,-1
15,ONESHOT_ROAR(DNR),74,0,0,0,0,0,-1,-1,-1
16,ONESHOT_KNEEL,75,16384,0,0,0,0,-1,-1,-1
17,ONESHOT_KISS,76,0,0,0,0,0,-1,-1,-1
18,ONESHOT_CRY,77,0,0,0,0,0,-1,-1,-1
19,ONESHOT_CHICKEN,78,0,0,0,0,0,-1,-1,-1
20,ONESHOT_BEG,79,278528,0,0,0,0,-1,-1,-1
21,ONESHOT_APPLAUD,80,0,0,0,0,0,-1,-1,-1
22,ONESHOT_SHOUT(DNR),81,192,0,0,0,0,-1,-1,-1
23,ONESHOT_FLEX,82,0,0,0,0,0,-1,-1,-1
24,ONESHOT_SHY(DNR),83,16384,0,0,0,0,-1,-1,-1
25,ONESHOT_POINT(DNR),84,0,0,0,0,0,-1,-1,-1
26,STATE_STAND,0,25088,1,0,0,0,-1,-1,-1
27,STATE_READYUNARMED,25,155648,2,0,0,0,-1,-1,-1
28,STATE_WORK_SHEATHED,62,24576,2,0,0,0,-1,-1,-1
29,STATE_POINT(DNR),84,16384,2,0,0,0,-1,-1,-1
30,STATE_NONE,0,16384,2,0,0,0,-1,-1,-1
33,ONESHOT_WOUND,9,1024,0,0,0,0,-1,-1,-1
34,ONESHOT_WOUNDCRITICAL,10,1024,0,0,0,0,-1,-1,-1
35,ONESHOT_ATTACKUNARMED,16,17408,0,0,0,0,-1,-1,-1
36,ONESHOT_ATTACK1H,17,17408,0,0,0,0,-1,-1,-1
37,ONESHOT_ATTACK2HTIGHT,18,17408,0,0,0,0,-1,-1,-1
38,ONESHOT_ATTACK2HLOOSE,19,17408,0,0,0,0,-1,-1,-1
39,ONESHOT_PARRYUNARMED,20,17408,0,0,0,0,-1,-1,-1
43,ONESHOT_PARRYSHIELD,24,17408,0,0,0,0,-1,-1,-1
44,ONESHOT_READYUNARMED,25,132096,0,0,0,0,-1,-1,-1
45,ONESHOT_READY1H,26,132096,0,0,0,0,-1,-1,-1
48,ONESHOT_READYBOW,29,132096,0,0,0,0,-1,-1,-1
50,ONESHOT_SPELLPRECAST,31,17408,0,0,0,0,-1,-1,-1
51,ONESHOT_SPELLCAST,32,17408,0,0,0,0,-1,-1,-1
