Name_lang,ID,Field_12_0_0_63724_002,RoomComponentType,TextureFileDataID,HouseThemeID
Flagstone,3,1,2,7535056,1
Folk Hardwood,4,1,2,7535057,1
Folk Wood Beam,5,1,3,6125220,1
Folk Stucco,22,1,1,5658169,1
Rugged Stone,24,1,1,6856592,2
Silvermoon Etched Marble,33,1,1,6986816,5
Rugged Wood,40,1,2,7535058,2
Silvermoon Mosaic,49,1,2,7494198,5
Rugged Wood,54,1,3,6856593,2
Silvermoon Blood Marble,60,1,3,6986850,5
Bel'ameth Wood Panel,61,1,3,6992184,4
Bel'ameth Soft Wood,63,1,1,7114465,4
Bel'ameth Hardwood,65,1,2,7491486,4
Cottage,162,1,1,7535055,1
