DisplayName_lang,Description_lang,ID,Type,Cost_Modifier,Race,Sex,Data
Long,,3,0,1,11,0,0
Foxtail,,4,0,1,11,0,1
Braids,,5,0,1,11,0,2
Swept,,6,0,1,11,0,3
Spiked Tail,,7,0,1,11,0,4
Beaded Braid,,8,0,1,11,0,5
Horned,,9,0,1,11,0,6
Looped Tail,,10,0,1,11,0,7
Bald,,11,0,1,11,0,8
Bare,,19,2,0.75,11,0,0
Splayed Tendrils,,20,2,0.75,11,0,1
Burns,,21,2,0.75,11,0,2
Chops,,22,2,0.75,11,0,3
Mustachioed,,23,2,0.75,11,0,4
Soul Patch,,24,2,0.75,11,0,5
Goatee,,25,2,0.75,11,0,6
Twin Tendrils,,26,2,0.75,11,0,7
Straight,,27,0,1,1,1,0
Loose,,28,0,1,1,1,1
Bangs,,29,0,1,1,1,2
Full,,30,0,1,1,1,3
Parted Long,,31,0,1,1,1,4
Flipped,,32,0,1,1,1,5
Tomboy,,33,0,1,1,1,6
Pony Right,,34,0,1,1,1,7
Pony Left,,35,0,1,1,1,8
Bobbed,,36,0,1,1,1,9
Layered,,37,0,1,1,1,10
Short,,38,0,1,1,1,11
Flirty,,39,0,1,1,1,12
Waved,,40,0,1,1,1,13
Bun,,41,0,1,1,1,14
Parted Short,,42,0,1,1,1,15
Waved Bob,,43,0,1,1,1,16
Rushed,,44,0,1,1,1,17
Unpierced,,55,2,0.75,1,1,0
Earrings,,56,2,0.75,1,1,1
Upper Earrings,,57,2,0.75,1,1,2
Double Upper Earrings,,58,2,0.75,1,1,3
Full Earrings,,59,2,0.75,1,1,4
Nose Ring,,60,2,0.75,1,1,5
Nose & Brow Rings,,61,2,0.75,1,1,6
Soaked,,62,0,1,1,1,18
Bald,,63,0,1,1,0,0
Peasant,,64,0,1,1,0,1
Soldier,,65,0,1,1,0,2
Monk,,66,0,1,1,0,3
Barbarian,,67,0,1,1,0,4
Dashing,,68,0,1,1,0,5
Loose,,69,0,1,1,0,6
Courtier,,70,0,1,1,0,7
Scholar,,71,0,1,1,0,8
Rogue,,72,0,1,1,0,9
Fabulous,,73,0,1,1,0,10
Samson,,74,0,1,1,0,11
Bearded,,85,2,0.75,1,0,0
Colonel,,86,2,0.75,1,0,1
Duelist,,87,2,0.75,1,0,2
Goatee,,88,2,0.75,1,0,3
Wizard,,89,2,0.75,1,0,4
Chops,,90,2,0.75,1,0,5
Van Dyke,,91,2,0.75,1,0,6
Mustachioed,,92,2,0.75,1,0,7
Clean,,93,2,0.75,1,0,8
Straight,,125,0,1,11,1,0
Flipped,,126,0,1,11,1,1
Cute,,127,0,1,11,1,2
Feathered,,128,0,1,11,1,3
Buns,,129,0,1,11,1,4
Jeweled Band,,130,0,1,11,1,5
Bangs,,131,0,1,11,1,6
Elegant,,132,0,1,11,1,7
Bounce,,133,0,1,11,1,8
Nape,,134,0,1,11,1,9
Sassy,,135,0,1,11,1,10
Sweeping,,143,2,0.75,11,1,0
Curled,,144,2,0.75,11,1,1
Arced,,145,2,0.75,11,1,2
High,,146,2,0.75,11,1,3
Spread,,147,2,0.75,11,1,4
Grand,,148,2,0.75,11,1,5
Short,,149,2,0.75,11,1,6
High Tail,,175,0,1,10,1,0
Parted Long,,176,0,1,10,1,1
Soaked,,177,0,1,10,1,2
Trouble,,178,0,1,10,1,3
Jeweled Band,,179,0,1,10,1,4
Full,,180,0,1,10,1,5
Tied,,181,0,1,10,1,6
Bun,,182,0,1,10,1,7
Parted Short,,183,0,1,10,1,8
Simple,,184,0,1,10,1,9
Shy,,185,0,1,10,1,10
Raquel,,186,0,1,10,1,11
Curled,,187,0,1,10,1,12
Headband,,188,0,1,10,1,13
Rubies,,200,2,0.75,10,1,1
Hoops,,201,2,0.75,10,1,2
Earrings,,202,2,0.75,10,1,3
Dangling Emeralds,,203,2,0.75,10,1,4
Emeralds & Bars,,204,2,0.75,10,1,5
Upper Earrings,,205,2,0.75,10,1,6
Pearls,,206,2,0.75,10,1,7
Dangling Rubies,,207,2,0.75,10,1,8
Emerald & Pearl Bars,,208,2,0.75,10,1,9
Rubies & Diamonds,,209,2,0.75,10,1,10
Flipped,,245,0,1,10,0,0
Swept,,246,0,1,10,0,1
Falcon,,247,0,1,10,0,2
Foxtail,,248,0,1,10,0,3
Parted Long,,249,0,1,10,0,4
Spiked,,250,0,1,10,0,5
Long Bangs,,251,0,1,10,0,6
Feathered Part,,252,0,1,10,0,7
Slicked,,253,0,1,10,0,8
Headband,,254,0,1,10,0,9
Topknot,,255,0,1,10,0,10
Clean,,266,2,0.75,10,0,0
Point,,267,2,0.75,10,0,1
Soul Patch,,268,2,0.75,10,0,2
Spike,,269,2,0.75,10,0,3
Pointed Chin,,270,2,0.75,10,0,4
Cropped Chin,,271,2,0.75,10,0,5
Soul Strip,,272,2,0.75,10,0,6
Dagger,,273,2,0.75,10,0,7
Goatee,,274,2,0.75,10,0,8
Styled Chin,,275,2,0.75,10,0,9
Mane,,307,0,1,4,0,0
Chonmage Braids,,308,0,1,4,0,1
Long,,309,0,1,4,0,2
Tail,,310,0,1,4,0,3
Chonmage Long,,311,0,1,4,0,4
Short Tail,,312,0,1,4,0,5
Windswept,,313,0,1,4,0,6
Clean,,322,2,0.75,4,0,0
Groomed,,323,2,0.75,4,0,1
Bearded,,324,2,0.75,4,0,2
Mustachioed,,325,2,0.75,4,0,3
Chops,,326,2,0.75,4,0,4
Goatee,,327,2,0.75,4,0,5
Bald,,349,0,1,3,0,0
Long,,350,0,1,3,0,1
Tail,,351,0,1,3,0,2
