ID,ItemID,ItemConversionID
1,188938,1
2,188864,2
3,188863,2
4,188868,2
5,188866,2
6,188867,2
7,188894,2
8,188898,2
9,188892,2
10,188893,2
11,188896,2
12,188849,2
13,188853,2
14,188847,2
15,188848,2
16,188851,2
17,188858,2
18,188861,2
19,188859,2
20,188860,2
21,188856,2
22,188839,2
23,188845,2
24,188844,2
25,188842,2
26,188843,2
27,188912,2
28,188916,2
29,188910,2
30,188911,2
31,188914,2
32,188929,2
33,188928,2
34,188933,2
35,188931,2
36,188932,2
37,188875,2
38,188881,2
39,188880,2
40,188878,2
41,188879,2
42,188903,2
43,188907,2
44,188901,2
45,188902,2
46,188905,2
47,188922,2
48,188925,2
49,188923,2
50,188924,2
51,188920,2
52,188884,2
53,188890,2
54,188889,2
55,188887,2
56,188888,2
57,188938,2
58,188937,2
59,188942,2
60,188940,2
61,188941,2
62,188873,2
63,188865,2
64,188870,2
65,188869,2
66,188900,2
67,188899,2
68,188897,2
69,188895,2
70,188871,2
71,188854,2
72,188852,2
73,188850,2
74,188872,2
75,188862,2
76,188857,2
77,188855,2
78,188846,2
79,188838,2
80,188841,2
81,188840,2
82,188918,2
83,188917,2
84,188915,2
85,188913,2
86,188936,2
87,188930,2
88,188935,2
89,188934,2
90,188882,2
91,188874,2
92,188877,2
93,188876,2
94,188909,2
95,188908,2
96,188906,2
97,188904,2
98,188927,2
99,188926,2
100,188921,2
101,188919,2
102,188891,2
103,188883,2
104,188886,2
105,188885,2
106,188945,2
107,188939,2
108,188944,2
109,188943,2
110,200405,3
111,200407,3
112,200408,3
113,200409,3
114,200410,3
115,200342,3
116,200344,3
117,200345,3
118,200346,3
119,200347,3
120,200351,3
121,200353,3
122,200354,3
123,200355,3
124,200356,3
125,200387,3
126,200389,3
127,200390,3
128,200391,3
129,200392,3
130,200315,3
131,200317,3
132,200318,3
133,200319,3
134,200320,3
135,200360,3
136,200362,3
137,200363,3
138,200364,3
139,200365,3
140,200414,3
141,200416,3
142,200417,3
143,200418,3
144,200419,3
145,200324,3
146,200326,3
147,200327,3
148,200328,3
149,200329,3
150,200369,3
151,200371,3
152,200372,3
153,200373,3
154,200374,3
155,200396,3
156,200398,3
157,200399,3
158,200400,3
159,200401,3
160,200333,3
161,200335,3
162,200336,3
163,200337,3
164,200338,3
165,200423,3
166,200425,3
167,200426,3
168,200427,3
169,200428,3
170,200413,3
171,200406,3
172,200411,3
173,200412,3
174,200350,3
175,200343,3
176,200348,3
177,200349,3
178,200359,3
179,200352,3
180,200357,3
181,200358,3
182,200395,3
183,200388,3
184,200393,3
185,200394,3
186,200323,3
187,200316,3
188,200321,3
189,200322,3
190,200368,3
191,200361,3
192,200366,3
193,200367,3
194,200422,3
195,200415,3
196,200420,3
197,200421,3
198,200332,3
199,200325,3
200,200330,3
201,200331,3
202,200377,3
203,200370,3
204,200375,3
205,200376,3
206,200404,3
207,200397,3
208,200402,3
209,200403,3
210,200341,3
211,200334,3
212,200339,3
213,200340,3
214,200431,3
215,200424,3
216,200429,3
217,200430,3
225,200378,3
226,200380,3
227,200381,3
228,200382,3
229,200383,3
230,200386,3
231,200379,3
232,200384,3
233,200385,3
234,202456,6
235,202464,6
236,202463,6
237,202462,6
238,202461,6
239,202460,6
240,202459,6
241,202458,6
242,202457,6
243,202519,6
244,202527,6
245,202526,6
246,202525,6
247,202524,6
248,202523,6
249,202522,6
250,202521,6
251,202520,6
252,202510,6
253,202518,6
254,202517,6
255,202516,6
256,202515,6
257,202514,6
