ID,NPCCraftingOrderSetID,CraftingOrderID,Field_11_0_0_54605_003,MinQuality,Field_11_0_0_55000_005
7,22,739,1000,2,0
8,22,744,1000,2,0
9,22,745,1000,2,0
10,22,746,1000,2,0
11,22,747,1000,2,0
12,22,748,1000,2,0
13,22,749,1000,2,0
14,22,750,1000,2,0
15,22,751,1000,2,0
16,22,752,500,2,0
17,22,753,500,2,0
18,22,754,500,2,0
19,22,755,500,2,0
20,22,756,500,2,0
22,22,758,500,0,0
23,22,759,500,0,0
25,22,761,500,0,0
26,22,762,500,2,0
27,22,764,500,2,0
28,22,765,500,2,0
29,22,766,500,2,0
30,22,767,500,2,0
31,22,768,100,2,0
32,22,769,0,2,0
33,22,770,0,2,0
34,21,739,1000,2,0
35,21,741,1000,2,0
36,21,742,1000,2,0
37,21,743,1000,2,0
38,21,744,1000,2,0
39,21,745,1000,2,0
40,21,746,1000,2,0
41,21,747,1000,2,0
42,21,748,1000,2,0
43,21,749,1000,2,0
44,21,750,1000,2,0
45,21,751,1000,2,0
46,21,752,500,2,0
47,21,753,500,2,0
48,21,754,500,2,0
49,21,755,500,2,0
50,21,756,500,2,0
52,21,758,500,0,0
53,21,759,500,0,0
55,21,761,500,0,0
56,21,762,500,2,0
57,21,764,500,2,0
58,21,765,500,2,0
59,21,766,500,2,0
60,21,767,500,2,0
61,21,768,500,2,0
62,20,741,500,2,0
63,20,742,500,2,0
64,20,743,500,2,0
65,20,744,500,2,0
66,20,745,500,2,0
67,20,746,500,2,0
68,20,747,500,2,0
69,20,748,500,2,0
70,20,749,500,2,0
71,20,750,500,2,0
72,20,751,500,2,0
73,20,768,100,2,0
74,23,739,1000,2,0
75,23,744,1000,2,0
76,23,745,1000,2,0
77,23,746,1000,2,0
78,23,747,1000,2,0
79,23,748,1000,2,0
80,23,749,1000,2,0
81,23,750,1000,2,0
82,23,751,1000,2,0
83,23,752,500,2,0
84,23,753,500,2,0
85,23,754,500,2,0
86,23,755,500,2,0
87,23,756,500,2,0
89,23,758,500,0,0
90,23,759,500,0,0
92,23,761,500,0,0
93,23,762,500,2,0
94,23,764,500,2,0
95,23,765,500,2,0
96,23,766,500,2,0
97,23,767,500,2,0
98,23,768,100,2,0
99,23,769,0,2,0
100,23,770,0,2,0
101,24,739,1000,2,0
102,24,741,1000,2,0
103,24,742,1000,2,0
104,24,743,1000,2,0
105,24,744,1000,2,0
106,24,745,1000,2,0
107,24,746,1000,2,0
108,24,747,1000,2,0
109,24,748,1000,2,0
110,24,749,1000,2,0
111,24,750,1000,2,0
112,24,751,1000,2,0
113,24,752,500,2,0
114,24,753,500,2,0
115,24,754,500,2,0
116,24,755,500,2,0
117,24,756,500,2,0
119,24,758,500,0,0
120,24,759,500,0,0
122,24,761,500,0,0
123,24,762,500,2,0
124,24,764,500,2,0
125,24,765,500,2,0
126,24,766,500,2,0
127,24,767,500,2,0
128,24,768,500,2,0
129,25,741,500,2,0
130,25,742,500,2,0
131,25,743,500,2,0
132,25,744,500,2,0
133,25,745,500,2,0
134,25,746,500,2,0
135,25,747,500,2,0
136,25,748,500,2,0
137,25,749,500,2,0
138,25,750,500,2,0
139,25,751,500,2,0
140,25,768,100,2,0
141,27,739,100,2,0
142,27,752,100,2,0
143,27,753,100,2,0
144,27,754,100,2,0
145,27,755,100,2,0
146,27,756,100,2,0
148,27,758,100,0,0
149,27,759,100,0,0
151,27,761,100,0,0
152,27,762,100,2,0
153,27,769,0,2,0
154,27,770,0,2,0
155,27,764,100,2,0
156,27,765,100,2,0
157,27,766,100,2,0
158,27,767,100,2,0
159,26,741,100,2,0
160,26,742,100,2,0
161,26,743,100,2,0
162,26,744,100,2,0
163,26,745,100,2,0
164,26,746,100,2,0
165,26,747,100,2,0
