ID,TraitCondID,TraitNodeGroupID
3277,18034,7138
3278,18044,7140
3279,18033,7141
3280,18035,7142
3281,18037,7143
3282,18031,7144
3283,18042,7145
3599,18817,7589
3600,18821,7590
3601,18823,7591
3602,18824,7592
3603,18822,7593
3604,18819,7595
3605,18820,7598
3606,18818,7599
3836,19162,7815
3837,19163,7817
3838,19164,7818
3840,19166,7820
3841,19168,7821
3842,19167,7822
4054,19533,8088
4055,19536,8089
4056,19534,8090
4057,19531,8091
4058,19535,8092
4059,19528,8093
4060,19527,8094
4061,19526,8095
4062,19529,8096
4418,19945,8350
4419,19946,8351
4420,19947,8352
4421,19950,8353
4422,19949,8353
4423,19958,8354
4424,19957,8354
4425,19959,8355
4426,19960,8356
4427,19956,8358
4428,19962,8358
4429,19961,8359
4430,19963,8361
4478,20042,8403
4479,20040,8404
4483,20043,8405
4485,20030,8406
4486,20033,8407
4488,20037,8408
4489,20029,8409
4491,20031,8412
4492,20038,8414
4503,20087,8439
4504,20085,8440
4505,20084,8441
4506,20089,8442
4507,20088,8443
4508,20092,8445
4509,20094,8446
4510,20091,8447
4511,20082,8448
4512,20086,8449
4527,20144,8477
4528,20152,8478
4529,20149,8479
4530,20150,8481
4531,20153,8482
4532,20155,8483
4533,20154,8484
4535,20156,8486
4538,20159,8488
4582,20224,8519
4583,20225,8520
4584,20232,8521
4585,20235,8522
4586,20233,8523
4587,20239,8524
4588,20249,8525
4589,20243,8527
4600,20242,8529
4601,20238,8530
4602,20248,8532
4635,20302,8542
4636,20299,8543
4637,20288,8544
4638,20304,8545
4639,20298,8546
4640,20295,8547
4641,20290,8549
7021,22740,9026
7022,22743,9028
7023,22744,9030
7024,22745,9031
7025,22746,9032
7038,22766,9048
7039,22769,9049
7040,22760,9050
7041,22767,9051
7042,22761,9052
7043,22763,9054
7044,22768,9055
7045,22762,9056
7046,22765,9057
7047,22764,9058
7056,22780,9071
7057,22783,9072
7058,22782,9073
7059,22778,9075
7060,22784,9076
7061,22781,9077
7062,22785,9079
7063,22779,9080
7068,22790,9088
7069,22791,9089
7070,22792,9090
7113,22874,9033
7114,22875,8528
7124,22889,9026
7134,22899,8522
7136,22901,8410
7143,22961,9034
7201,23014,8414
7259,23102,8489
7303,23143,9185
7304,23145,9186
7305,23146,9187
7307,23148,9190
7308,23142,9193
7309,23147,9194
7310,23144,9195
7311,23140,9196
7313,23153,9198
7315,23158,9201
7316,23159,9202
7317,23160,9203
7318,23161,9204
7319,23162,9205
7320,23163,9206
7321,23164,9208
7322,23183,9210
7335,23234,9234
7336,23232,9234
7337,23236,9236
7338,23224,9237
7339,23220,9240
7340,23227,9241
7341,23219,9243
7342,23230,9244
7343,23221,9245
7344,23237,9243
7378,23272,8522
7379,23271,8522
7386,23287,9252
7387,23288,9253
7388,23289,9254
7398,23306,9259
7399,23308,9260
7400,23309,9261
7408,23322,9267
7409,23312,9268
7410,23311,9268
7411,23314,9269
7412,23313,9269
7413,23316,9271
7414,23315,9271
7430,23351,9294
7431,23356,9296
7432,23350,9297
7433,23353,9298
7434,23344,9299
7435,23343,9299
7436,23346,9300
7437,23345,9300
7439,23348,9302
7440,23347,9302
7441,23357,9303
7442,23367,9305
7443,23370,9307
7444,23365,9308
7445,23369,9309
7452,23374,9315
7453,23383,9317
7454,23371,9318
7455,23376,9319
7462,23385,9326
7463,23388,9328
7464,23386,9329
7465,23392,9333
7466,23401,9335
7468,23394,9337
7471,23398,9339
7473,23400,9341
7474,23399,9341
7476,23402,9339
7478,23404,9338
7479,23409,9343
7480,23418,9345
7481,23407,9346
7482,23411,9347
7489,23422,9353
7490,23431,9355
7491,23420,9356
7492,23424,9357
7493,23426,9358
7494,23425,9358
7495,23428,9359
7496,23427,9359
7497,23430,9361
7498,23429,9361
7499,23435,9363
7500,23444,9365
7501,23433,9366
7502,23437,9367
7503,23439,9368
7504,23438,9368
7505,23441,9369
7506,23440,9369
7507,23443,9371
7508,23442,9371
7509,23448,9373
7510,23457,9375
7511,23446,9376
7512,23450,9377
7513,23452,9378
7514,23451,9378
7515,23453,9379
7516,23454,9379
7517,23456,9381
7518,23455,9381
7519,23461,9383
7520,23470,9385
7521,23459,9386
7522,23463,9387
7523,23465,9388
7524,23464,9388
7525,23467,9389
7526,23466,9389
7527,23469,9391
7528,23468,9391
7546,23513,9452
7547,23512,9452
7548,23512,9453
7549,23511,9453
7550,23514,9454
7551,23513,9454
7552,23514,9455
7553,23511,9455
7554,23515,9461
7555,23516,9462
7556,23517,9463
7557,23518,9464
7558,23519,9466
7559,23520,9467
7560,23521,9469
7561,23522,9470
7562,24315,9338
7570,26019,10309
7577,26596,10509
7578,26595,10509
7579,26594,9266
7580,26593,9272
7581,26597,10510
7582,26598,10510
7583,26600,10511
7584,26599,10511
7585,26602,10512
7586,26603,10513
7587,26604,10513
7588,26608,9255
7589,26609,9255
7590,26610,10514
7591,26650,10515
7592,26655,10516
7593,26654,10516
7594,26657,10517
7595,26656,10517
7596,26659,10518
7597,26658,10518
7598,26662,10519
7599,26664,10520
7600,26663,10520
7601,26666,10521
7602,26665,10521
7603,26670,10522
7604,26674,9333
7605,26672,9336
7606,26671,9336
7607,26673,9337
7608,26676,9266
7609,26675,9272
7610,26680,10524
7611,26681,10525
7612,26682,10525
7613,26684,10526
7614,26683,10526
7615,26685,10527
7616,26686,10527
7617,26689,10528
7618,26690,10528
7619,26691,10529
7620,26692,10529
7621,26694,10530
7622,26693,10530
7623,26696,10531
7624,26700,10532
7625,26701,10533
7626,26702,10533
7627,26703,10534
7628,26704,10534
7629,26705,10535
7630,26706,10535
7631,26710,10536
7632,26712,10537
7633,26711,10537
7634,26714,10538
7635,26713,10538
7636,26716,10539
7637,26715,10539
7638,26722,8414
7639,26721,8414
7640,26720,8414
7641,26719,8414
7642,26718,8414
7643,26717,8414
7644,26732,10540
7645,26727,10541
7646,26726,10541
7647,26731,10542
7648,26730,10542
7649,26729,10543
7650,26728,10543
7651,26742,10544
7652,26736,10545
7653,26737,10545
7654,26739,10546
7655,26738,10546
7656,26741,10547
7657,26740,10547
7658,26752,10548
7659,26747,10549
7660,26746,10549
7661,26749,10550
7662,26748,10550
7663,26751,10551
7664,26750,10551
7665,26756,10552
7666,26757,10553
7667,26758,10553
7668,26759,10554
7669,26760,10554
7670,26762,10555
7671,26761,10555
7673,26766,9188
7674,27038,10641
7675,27039,10642
7676,27040,10643
7677,27041,10644
7678,27042,10645
7679,27043,10646
7680,27044,10647
7681,27045,10648
7682,27046,10649
7683,27047,10650
7684,27048,10651
7685,27049,10652
7686,27050,10653
7687,27051,8414
7688,27052,8414
7689,27054,8414
7690,27053,8414
7691,27074,8414
7692,27073,8414
7693,27072,8414
7694,27071,8414
7695,27070,8414
7696,27069,8414
7697,27068,8414
7698,27067,8414
7699,27066,8414
7700,27065,8414
7701,27064,8414
7702,27063,8414
7703,27062,8414
7704,27061,8414
7705,27060,8414
7706,27059,8414
7707,27058,8414
7708,27057,8414
7709,27055,8414
7710,27056,8414
7712,27114,10662
7713,27144,8414
7714,27143,8414
7715,27142,8414
7716,27141,8414
7717,27140,8414
7718,27139,8414
7719,27138,8414
7720,27137,8414
7721,27136,8414
7722,27135,8414
7723,27134,8414
7724,27133,8414
7725,27132,8414
7726,27131,8414
7727,27130,8414
7728,27129,8414
7729,27128,8414
7730,27127,8414
7731,27126,8414
7732,27125,8414
7733,27124,8414
7734,27123,8414
7735,27122,8414
7736,27121,8414
7737,27120,8414
7738,27119,8414
7739,27118,8414
7740,27117,8414
7741,27116,8414
7742,27147,8414
7743,27146,8414
7744,27145,8414
7746,27724,7142
7747,27741,10870
7748,27820,10871
7749,27745,10872
7750,27743,10872
7751,27822,10873
7752,27747,10874
7753,27726,10875
7754,27751,10876
7755,27749,10876
7756,27728,10877
7757,27755,10878
7758,27753,10878
7759,27730,10879
7760,27757,10880
7761,27759,10882
7762,27732,10883
7763,27762,10885
7764,27761,10885
7765,27760,10885
7766,27758,10885
7767,27821,10885
7768,27756,10885
7769,27819,10885
7770,27754,10885
7771,27817,10885
7772,27752,10885
7773,27815,10885
7774,27814,10885
7775,27750,10885
7776,27813,10885
7777,27812,10885
7778,27748,10885
7779,27811,10885
7780,27810,10885
7781,27746,10885
7782,27809,10885
7783,27808,10885
7784,27744,10885
7785,27807,10885
7786,27806,10885
7787,27742,10885
7788,27805,10885
7789,27804,10885
7790,27740,10885
7791,27803,10885
7792,27802,10885
7793,27738,10885
7794,27801,10885
7795,27800,10885
7796,27736,10885
7797,27799,10885
7798,27798,10885
7799,27734,10885
7800,27797,10885
7801,27733,10885
7802,27796,10885
7803,27795,10885
7804,27731,10885
7805,27794,10885
7806,27793,10885
7807,27729,10885
7808,27791,10885
7809,27727,10885
7810,27789,10885
7811,27725,10885
7812,27787,10885
7813,27785,10885
7814,27783,10885
7815,27781,10885
7816,27779,10885
7817,27777,10885
7818,27775,10885
7819,27773,10885
7820,27771,10885
7821,27769,10885
7822,27767,10885
7823,27766,10885
7824,27765,10885
7825,27764,10885
7826,27763,10885
7827,27735,10887
7828,27737,10889
7829,27739,10890
7830,27816,10891
7831,27818,10893
7832,27829,7143
7833,27830,7143
7850,28397,11046
7872,28633,10880
7873,28632,10880
7874,28631,10880
7875,28636,8352
7876,28634,8355
7877,28637,8356
7878,28651,7143
7879,28650,7143
7880,28649,7143
7884,28674,8484
11987,32789,11073
11988,33712,11073
11989,33316,11074
11990,33184,11074
11991,33449,11075
11992,33450,11076
11993,33581,11077
11994,33713,11078
11995,32791,11079
11996,33052,11081
11997,32923,11082
11998,33580,11083
11999,33448,11083
12000,33054,11084
12001,32921,11085
12002,33186,11086
12003,33454,11087
12004,33446,11087
12005,33442,11087
12006,33438,11087
12007,33434,11087
12008,33430,11087
12009,33426,11087
12010,33422,11087
12011,33418,11087
12012,33414,11087
12013,33410,11087
12014,33406,11087
12015,33402,11087
12016,33398,11087
12017,33394,11087
12018,33390,11087
12019,33386,11087
12020,33382,11087
12021,33378,11087
12022,33374,11087
12023,33370,11087
12024,33366,11087
12025,33362,11087
12026,33358,11087
12027,33354,11087
12028,33350,11087
12029,33346,11087
12030,33342,11087
12031,33338,11087
12032,33334,11087
12033,33330,11087
12034,33326,11087
12035,33322,11087
12036,33318,11087
12037,33314,11087
12038,33310,11087
12039,33306,11087
12040,33302,11087
12041,33298,11087
12042,33294,11087
12043,33290,11087
12044,33286,11087
12045,33282,11087
12046,33278,11087
12047,33274,11087
12048,33270,11087
12049,33266,11087
12050,33262,11087
12051,33258,11087
12052,33254,11087
12053,33250,11087
12054,33246,11087
12055,33242,11087
12056,33238,11087
12057,33234,11087
12058,33230,11087
12059,33226,11087
12060,33222,11087
12061,33218,11087
12062,33214,11087
12063,33210,11087
12064,33206,11087
12065,33202,11087
12066,33198,11087
12067,33194,11087
12068,33190,11087
12069,33182,11087
12070,33178,11087
12071,33174,11087
12072,33170,11087
12073,33166,11087
12074,33162,11087
12075,33158,11087
12076,33154,11087
12077,33150,11087
12078,33146,11087
12079,33142,11087
12080,33138,11087
12081,33134,11087
12082,33130,11087
12083,33126,11087
12084,33122,11087
12085,33118,11087
12086,33114,11087
12087,33110,11087
12088,33106,11087
12089,33102,11087
12090,33098,11087
12091,33094,11087
12092,33090,11087
12093,33086,11087
12094,33082,11087
12095,33078,11087
12096,33074,11087
12097,33070,11087
12098,33066,11087
12099,33062,11087
12100,33058,11087
12101,33050,11087
12102,33046,11087
12103,33042,11087
12104,33038,11087
12105,33034,11087
12106,33030,11087
12107,33026,11087
12108,33022,11087
12109,33018,11087
12110,33014,11087
12111,33010,11087
12112,33006,11087
12113,33002,11087
12114,32998,11087
12115,32994,11087
12116,32990,11087
12117,32986,11087
12118,32982,11087
12119,32978,11087
12120,32974,11087
12121,32970,11087
12122,32966,11087
12123,32962,11087
12124,32958,11087
12125,32954,11087
12126,32950,11087
12127,32946,11087
12128,32942,11087
12129,32938,11087
12130,32934,11087
12131,32930,11087
12132,32926,11087
12133,32918,11087
12134,32914,11087
12135,32910,11087
12136,32906,11087
12137,32902,11087
12138,32898,11087
12139,32894,11087
12140,32890,11087
12141,32886,11087
12142,32882,11087
12143,32878,11087
12144,32874,11087
12145,32870,11087
12146,32866,11087
12147,32862,11087
12148,32858,11087
12149,32854,11087
12150,32850,11087
12151,32846,11087
12152,32842,11087
12153,32838,11087
12154,32834,11087
12155,32830,11087
12156,32826,11087
12157,32822,11087
12158,32818,11087
12159,32814,11087
12160,32810,11087
12161,32806,11087
12162,32802,11087
12163,32798,11087
12164,32794,11087
12165,32786,11087
12166,32782,11087
12167,33833,11087
12168,33829,11087
12169,33825,11087
12170,33821,11087
12171,33817,11087
12172,33813,11087
12173,33809,11087
12174,33805,11087
12175,33801,11087
12176,33797,11087
12177,33793,11087
12178,33789,11087
12179,33785,11087
12180,33781,11087
12181,33777,11087
12182,33773,11087
12183,33769,11087
12184,33765,11087
12185,33761,11087
12186,33757,11087
12187,33753,11087
12188,33749,11087
12189,33745,11087
12190,33741,11087
12191,33737,11087
12192,33733,11087
12193,33729,11087
12194,33725,11087
12195,33721,11087
12196,33717,11087
12197,33709,11087
12198,33705,11087
12199,33701,11087
12200,33697,11087
12201,33693,11087
12202,33689,11087
12203,33685,11087
12204,33681,11087
12205,33677,11087
12206,33673,11087
12207,33669,11087
12208,33665,11087
12209,33661,11087
12210,33657,11087
12211,33653,11087
12212,33649,11087
12213,33645,11087
12214,33641,11087
12215,33637,11087
12216,33633,11087
12217,33629,11087
12218,33625,11087
12219,33621,11087
12220,33617,11087
12221,33613,11087
12222,33609,11087
12223,33605,11087
12224,33601,11087
12225,33597,11087
12226,33593,11087
12227,33589,11087
12228,33585,11087
12229,33577,11087
12230,33573,11087
12231,33569,11087
12232,33565,11087
12233,33561,11087
12234,33557,11087
12235,33553,11087
12236,33549,11087
12237,33545,11087
12238,33541,11087
12239,33537,11087
12240,33533,11087
12241,33529,11087
12242,33525,11087
12243,33521,11087
12244,33517,11087
12245,33513,11087
12246,33509,11087
12247,33505,11087
12248,33501,11087
12249,33497,11087
12250,33493,11087
12251,33489,11087
12252,33485,11087
12253,33481,11087
12254,33477,11087
12255,33473,11087
12256,33469,11087
12257,33465,11087
12258,33461,11087
12259,33457,11087
12260,33453,11087
12261,33445,11087
12262,33441,11087
12263,33437,11087
12264,33433,11087
12265,33429,11087
12266,33425,11087
12267,33421,11087
12268,33417,11087
12269,33413,11087
12270,33409,11087
12271,33405,11087
12272,33401,11087
12273,33397,11087
12274,33393,11087
12275,33389,11087
12276,33385,11087
12277,33381,11087
12278,33377,11087
12279,33373,11087
12280,33369,11087
12281,33365,11087
12282,33361,11087
12283,33357,11087
12284,33353,11087
12285,33349,11087
12286,33345,11087
12287,33341,11087
12288,33337,11087
12289,33333,11087
12290,33329,11087
12291,33325,11087
12292,33321,11087
12293,33313,11087
12294,33309,11087
12295,33305,11087
12296,33301,11087
12297,33297,11087
12298,33293,11087
12299,33289,11087
12300,33285,11087
12301,33281,11087
12302,33277,11087
12303,33273,11087
12304,33269,11087
12305,33265,11087
12306,33261,11087
12307,33257,11087
12308,33253,11087
12309,33249,11087
12310,33245,11087
12311,33241,11087
12312,33237,11087
12313,33233,11087
12314,33229,11087
12315,33225,11087
12316,33221,11087
12317,33217,11087
12318,33213,11087
12319,33209,11087
12320,33205,11087
12321,33201,11087
12322,33197,11087
12323,33193,11087
12324,33189,11087
12325,33181,11087
12326,33177,11087
12327,33173,11087
12328,33169,11087
12329,33165,11087
12330,33161,11087
12331,33157,11087
12332,33153,11087
12333,33149,11087
12334,33145,11087
12335,33141,11087
12336,33137,11087
12337,33133,11087
12338,33129,11087
12339,33125,11087
12340,33121,11087
12341,33117,11087
12342,33113,11087
12343,33109,11087
12344,33105,11087
12345,33101,11087
12346,33097,11087
12347,33093,11087
12348,33089,11087
12349,33085,11087
12350,33081,11087
12351,33077,11087
12352,33073,11087
12353,33069,11087
12354,33065,11087
12355,33061,11087
12356,33057,11087
12357,33049,11087
12358,33045,11087
12359,33041,11087
12360,33037,11087
12361,33033,11087
12362,33029,11087
12363,33025,11087
12364,33021,11087
12365,33017,11087
12366,33013,11087
12367,33009,11087
12368,33005,11087
12369,33001,11087
12370,32997,11087
12371,32993,11087
12372,32989,11087
12373,32985,11087
12374,32981,11087
12375,32977,11087
12376,32973,11087
12377,32969,11087
12378,32965,11087
12379,32961,11087
12380,32957,11087
12381,32953,11087
12382,32949,11087
12383,32945,11087
12384,32941,11087
12385,32937,11087
12386,32933,11087
12387,32929,11087
12388,32925,11087
12389,32917,11087
12390,32913,11087
12391,32909,11087
12392,32905,11087
12393,32901,11087
12394,32897,11087
12395,32893,11087
12396,32889,11087
12397,32885,11087
12398,32881,11087
12399,32877,11087
12400,32873,11087
12401,32869,11087
12402,32865,11087
12403,32861,11087
12404,32857,11087
12405,32853,11087
12406,32849,11087
12407,32845,11087
12408,32841,11087
12409,32837,11087
12410,32833,11087
12411,32829,11087
12412,32825,11087
12413,32821,11087
12414,32817,11087
12415,32813,11087
12416,32809,11087
12417,32805,11087
12418,32801,11087
12419,32797,11087
12420,32793,11087
12421,32785,11087
12422,33832,11087
12423,33828,11087
12424,33824,11087
12425,33820,11087
12426,33816,11087
12427,33812,11087
12428,33808,11087
12429,33804,11087
12430,33800,11087
12431,33796,11087
12432,33792,11087
12433,33788,11087
12434,33784,11087
12435,33780,11087
12436,33776,11087
12437,33772,11087
12438,33768,11087
12439,33764,11087
12440,33760,11087
12441,33756,11087
12442,33752,11087
12443,33748,11087
12444,33744,11087
12445,33740,11087
12446,33736,11087
12447,33732,11087
12448,33728,11087
12449,33724,11087
12450,33720,11087
12451,33716,11087
12452,33708,11087
12453,33704,11087
12454,33700,11087
12455,33696,11087
12456,33692,11087
12457,33688,11087
12458,33684,11087
12459,33680,11087
12460,33676,11087
12461,33672,11087
12462,33668,11087
12463,33664,11087
12464,33660,11087
12465,33656,11087
12466,33652,11087
12467,33648,11087
12468,33644,11087
12469,33640,11087
12470,33636,11087
12471,33632,11087
12472,33628,11087
12473,33624,11087
12474,33620,11087
12475,33616,11087
12476,33612,11087
12477,33608,11087
12478,33604,11087
12479,33600,11087
12480,33596,11087
12481,33592,11087
12482,33588,11087
12483,33584,11087
12484,33576,11087
12485,33572,11087
12486,33568,11087
12487,33564,11087
12488,33560,11087
12489,33556,11087
12490,33552,11087
12491,33548,11087
12492,33544,11087
12493,33540,11087
12494,33536,11087
12495,33532,11087
12496,33528,11087
12497,33524,11087
12498,33520,11087
12499,33516,11087
12500,33512,11087
12501,33508,11087
12502,33504,11087
12503,33500,11087
12504,33496,11087
12505,33492,11087
12506,33488,11087
12507,33484,11087
