ID,Name_lang,UiMapGroupID,UiMapID,FloorIndex,RelativeHeightIndex
485,Fargodeep Mine,139,38,1,0
486,Lower Mines,139,39,2,0
487,Blackrock Spire,140,33,14,0
488,Blackrock Caverns,140,34,15,0
489,Blackrock Depths,140,35,16,0
490,The Master's Cellar,141,44,23,0
491,Lower Cellar,141,45,24,0
492,Orgrimmar,142,85,0,0
493,Cleft of Shadow,142,86,1,0
496,The Wicked Grotto,144,67,21,0
497,Foulspore Cavern,144,68,22,0
498,Tiragarde Keep,145,3,10,0
499,Great Hall,145,4,11,0
500,Upper Den,146,60,4,0
501,Lower Den,146,61,5,0
502,The Courtyard,147,310,1,0
503,Dining Hall,147,311,2,0
504,The Vacant Den,147,312,3,0
505,Lower Observatory,147,313,4,0
506,Upper Observatory,147,314,5,0
507,Lord Godfrey's Chamber,147,315,6,0
508,The Wall Walk,147,316,7,0
509,The Deadmines,148,291,1,0
510,Ironclad Cove,148,292,2,0
511,The Pool of Ask'Ar,149,221,1,0
512,Moonshrine Sanctum,149,222,2,0
513,The Forgotten Pool,149,223,3,0
514,Hall of the Keepers,150,230,1,0
515,Khaz'Goroth's Seat,150,231,2,0
516,The Hall of Gears,151,226,1,0
517,The Dormitory,151,227,2,0
518,Launch Bay,151,228,3,0
519,Tinkers' Court,151,229,4,0
520,Graveyard,152,302,0,0
521,Library,152,303,1,0
522,Armory,152,304,2,0
523,Cathedral,152,305,3,0
524,Tazz'Alor,153,250,1,0
525,Skitterweb Tunnels,153,251,2,0
526,Hordemar City,153,252,3,0
527,Hall of Blackhand,153,253,4,0
528,Halycon's Lair,153,254,5,0
529,Chamber of Battle,153,255,6,0
530,Detention Block,154,242,1,0
531,Shadowforge City,154,243,2,0
532,The Reliquary,155,306,1,0
533,Chamber of Summoning,155,307,2,0
534,The Upper Study,155,308,3,0
535,Headmaster's Study,155,309,4,0
536,Crusader's Square,156,317,1,0
537,The Gauntlet,156,318,2,0
538,Caverns of Maraudon,157,280,1,0
539,Zaetar's Grave,157,281,2,0
540,Deeprun Tram,158,499,1,0
541,Bizmo's Brawlpub,158,500,2,0
542,Gordok Commons,159,235,1,0
543,Capital Gardens,159,236,2,0
544,Court of the Highborne,159,237,3,0
545,Prison of Immol'Thar,159,238,4,0
546,Warpwood Quarter,159,239,5,0
547,The Shrine of Eldretharr,159,240,6,0
548,Dragonmaw Garrison,160,287,1,0
549,Halls of Strife,160,288,2,0
550,Crimson Laboratories,160,289,3,0
551,Nefarian's Lair,160,290,4,0
552,The Hive Undergrounds,161,319,1,0
553,The Temple Gates,161,320,2,0
554,Vault of C'Thun,161,321,3,0
555,Servant's Quarters,162,350,1,0
556,Upper Livery Stables,162,351,2,0
557,The Banquet Hall,162,352,3,0
558,The Guest Chambers,162,353,4,0
559,Opera Hall Balcony,162,354,5,0
560,Master's Terrace,162,355,6,0
561,Lower Broken Stair,162,356,7,0
562,Upper Broken Stair,162,357,8,0
563,The Menagerie,162,358,9,0
564,Guardian's Library,162,359,10,0
565,The Repository,162,360,11,0
566,Upper Library,162,361,12,0
567,The Celestial Watch,162,362,13,0
568,Gamesman's Hall,162,363,14,0
569,Medivh's Chambers,162,364,15,0
570,The Power Station,162,365,16,0
571,Netherspace,162,366,17,0
572,The Construct Quarter,163,162,1,0
573,The Arachnid Quarter,163,163,2,0
574,The Military Quarter,163,164,3,0
575,The Plague Quarter,163,165,4,0
576,The Lower Necropolis,163,166,5,0
577,The Upper Necropolis,163,167,6,0
578,The Steamvault,164,263,1,0
579,The Cooling Pools,164,264,2,0
580,Stasis Block: Trion,165,269,1,0
581,Stasis Block: Maximus,165,270,2,0
582,Containment Core,165,271,3,0
583,The Mechanar,166,267,1,0
584,Calculation Chamber,166,268,2,0
585,Veil Sethekk,167,258,1,0
586,Halls of Mourning,167,259,2,0
587,Halls of the Hereafter,168,256,1,0
588,Bridge of Souls,168,257,2,0
589,Karabor Sewers,169,340,0,0
590,Black Temple,169,339,1,0
591,Sanctuary of Shadows,169,341,2,0
592,Halls of Anguish,169,342,3,0
593,Gorefiend's Vigil,169,343,4,0
594,Den of Mortal Delights,169,344,5,0
595,Chamber of Command,169,345,6,0
596,Temple Summit,169,346,7,0
597,Dalaran City,170,125,1,0
598,The Underbelly,170,126,2,0
599,Njorndir Preparation,171,133,1,0
600,Dragonflayer Ascent,171,134,2,0
601,Tyr's Terrace,171,135,3,0
602,Lower Pinnacle,172,136,1,0
603,Upper Pinnacle,172,137,2,0
604,Band of Variance,173,143,1,0
605,Band of Acceleration,173,144,2,0
606,Band of Transmutation,173,145,3,0
607,Band of Alignment,173,146,4,0
608,Sunwell Plateau,174,335,0,0
609,Shrine of the Eclipse,174,336,1,0
610,Grand Magister's Asylum,175,348,1,0
611,Observation Grounds,175,349,2,0
612,The Culling of Stratholme,176,130,0,0
613,Stratholme City,176,131,1,0
614,The Vestibules of Drak'Tharon,177,160,1,0
615,Drak'Tharon Overlook,177,161,2,0
616,The Brood Pit,178,157,1,0
617,Hadronox's Lair,178,158,2,0
618,The Gilded Gate,178,159,3,0
619,Unyielding Garrison,179,138,1,0
620,Walk of the Makers,179,139,2,0
621,Ulduar,180,147,0,0
622,The Antechamber of Ulduar,180,148,1,0
623,The Inner Sanctum of Ulduar,180,149,2,0
624,The Prison of Yogg-Saron,180,150,3,0
625,The Spark of Imagination,180,151,4,0
626,The Mind's Eye,180,152,5,0
627,The Lower Citadel,181,186,1,0
628,The Rampart of Skulls,181,187,2,0
629,Deathbringer's Rise,181,188,3,0
630,The Frost Queen's Lair,181,189,4,0
631,The Upper Reaches,181,190,5,0
632,Royal Quarters,181,191,6,0
633,The Frozen Throne,181,192,7,0
634,Frostmourne,181,193,8,0
635,Abyssal Halls,182,322,1,0
636,Throne of Neptulon,182,323,2,0
637,The Vault of Lights,183,297,1,0
638,Tomb of the Earthrager,183,298,2,0
639,The Four Seats,183,299,3,0
640,Chamber of Incineration,184,283,1,0
641,Twilight Forge,184,284,2,0
642,Floor 1,185,208,1,0
643,Floor 2,185,209,2,0
644,Mine Tunnels,186,177,3,0
