ID,Position[0],Position[1],Position[2],SoundEmittersID,Field_11_0_0_54210_002
1593,4456.5923,1136.0192,104.52686,4303,0
1594,4444.4165,1135.7188,46.8771,4303,1
1597,4621.934,1243.4358,111.35126,4309,0
1598,4633.436,1241.8473,6.809977,4309,1
1603,4624.4976,1411.6267,138.89963,4312,0
1604,4641.9097,1414.4045,31.69889,4312,1
1605,4175.1006,1251.8594,546.555,4327,0
1606,4177.119,1251.2188,473.83948,4327,1
1607,4089.3254,313.2882,171.80222,4328,0
1608,4104.2847,310.13196,59.001118,4328,1
1609,4149.944,325.8941,17.874447,4328,2
1610,1938.3629,-71.09375,454.1552,4386,0
1611,1948.1719,-86.328125,402.00244,4386,1
1612,2024.2379,-50.61632,437.8395,4387,0
1613,2028.7795,-58.947918,393.45007,4387,1
1614,1987.6111,-58.36111,452.74268,4392,0
1615,1989.5312,-71.7934,420.2869,4392,1
1616,1987.0885,-82.85764,392.1875,4392,2
1617,2231.9583,-59.338543,376.9269,4396,0
1618,2215.7708,-55.649307,420.09723,4396,1
1619,2141.9739,-352.54166,382.67215,4416,0
1620,2155.7136,-347.81424,304.84543,4416,1
1621,2149.2534,-307.11807,382.90714,4417,0
1622,2169.6145,-312.31424,308.12848,4417,1
1623,2156.3125,-230.06076,387.11133,4418,0
1624,2170.592,-227.2448,303.74014,4418,1
1625,2152.3298,-148.34549,386.90494,4421,0
1626,2172.9497,-157.79341,312.44778,4421,1
1630,2430.507,-199.26562,283.43848,4428,0
1631,2441.6702,-198.5868,186.76389,4428,1
1632,2449.2761,-173.6823,2.489973,4428,2
1635,1641.1198,-360.06076,364.73514,4467,0
1636,1670.0173,-362.4896,364.38272,4467,1
1637,713.36115,275.2639,343.4217,4497,0
1638,740.4618,262.4184,343.08643,4497,1
1646,536.3698,-964.96356,171.78973,4525,0
1647,526.125,-975.1042,78.509155,4525,1
1648,-355.64758,-1891.776,118.90628,4551,0
1649,-364.00174,-1879.0729,68.37695,4551,1
1650,-365.50522,-1844.4392,50.96709,4551,2
1651,-374.23438,-1813.75,4.7503376,4551,3
1652,-368.75174,-1827.1459,38.304176,4551,4
1653,431.46353,-2531.7917,172.3737,4561,0
1654,419.31424,-2534.9426,106.51603,4561,1
1655,401.55728,-2540.8315,46.11575,4561,2
1656,432.87674,-2492.5781,127.38744,4565,0
1657,429.158,-2482.0017,85.05228,4565,1
1658,429.75,-2462.165,40.929737,4565,2
1659,1136.7552,-2684.9915,127.61389,4585,0
1660,1144.6129,-2688.0383,95.28704,4585,1
1661,1156.2622,-2639.2917,132.3343,4586,0
1662,1161.5625,-2642.5972,95.03342,4586,1
1663,1233.8524,-2683.7622,90.61662,4587,0
1664,1249.4323,-2703.8508,2.9375086,4587,1
1665,1237.717,-2657.7378,88.87311,4588,0
1666,1260.8594,-2659.448,8.839216,4588,1
1667,1147.9427,-2718.4045,88.79966,4589,0
1668,1148.1442,-2737.3594,37.131733,4589,1
1669,1150.849,-2748.9062,1.738091,4589,2
1670,1686.618,-2566.2935,147.0072,4600,0
1671,1689.8125,-2584.4324,90.50061,4600,1
1672,1690.3091,-2595.462,81.762024,4600,2
1673,1695.3663,-2601.7917,16.6618,4600,3
1674,1694.1442,-2618.5051,0.5060811,4600,4
1675,2576.2317,-2270.5347,118.75098,4628,0
1676,2576.9915,-2301.3838,82.24034,4628,1
1677,2583.593,-2305.9739,71.22099,4628,2
1678,2581.9453,-2312.1926,4.608622,4628,3
1679,2538.4766,-1752.7483,391.59467,4631,0
1680,2534.933,-1761.0122,342.1634,4631,1
1681,2538.6572,-1774.0122,310.6481,4631,2
1682,2528.341,-1784.7795,299.57785,4631,3
1683,2505.6685,-1788.0851,274.241,4631,4
1684,2478.4202,-1809.0608,253.97151,4631,5
1685,2595.8186,-1376.4635,452.75992,4646,0
1686,2590.1077,-1369.1962,389.21127,4646,1
1687,2303.8838,-1008.6996,511.33957,4654,0
1688,2296.5051,-1007.5347,455.4861,4654,1
1689,2274.9253,-1031.9098,449.06207,4654,2
1690,2265.7222,-1044.1632,427.68185,4654,3
1691,2256.5051,-1056.783,426.14505,4654,4
1692,2211.9792,-1097.0729,417.7542,4658,0
1693,2199.9636,-1101.5156,404.15436,4658,1
1694,2192.309,-1101.1615,367.2086,4658,2
1695,1629.2656,-1912.3108,376.83936,4665,0
1696,1618.8368,-1900.5348,258.20425,4665,1
1697,-1076.4392,1412.1649,6.40625,4683,0
1698,-1077.1685,1412.9584,132.42549,4683,1
1699,-1074.4254,1383.3055,131.59361,4683,2
1700,-1077.3524,1381.3993,6.0970907,4683,3
1701,-681.1597,80.30903,119.78787,4690,0
1702,-710.5851,73.69097,24.654514,4690,1
1703,292.80902,347.1736,184.41188,4712,0
1704,290.40103,348.7205,143.4786,4712,1
1705,4186.733,1252.9757,431.54825,4820,0
1706,4172.435,1238.474,556.3738,4820,1
1707,4171.4663,1266.8108,556.3933,4820,2
1708,4186.482,1253.1476,432.68777,4820,3
1709,4190.5938,1252.5868,448.23138,4826,0
1710,4181.8115,1239.2448,462.73822,4826,1
1711,4175.8994,1239.8507,519.3208,4826,2
1712,4172.0356,1237.4045,557.3528,4826,3
1713,4171.2407,1269.8698,557.98016,4826,4
1714,4175.703,1268.4618,516.8768,4826,5
1715,4179.269,1268.231,462.55557,4826,6
1716,4184.819,1252.967,440.99796,4826,7
1717,4368.6104,1113.8942,175.1493,4857,0
1718,4357.3022,1121.0798,242.04265,4857,1
1719,4376.9194,1125.9774,240.39738,4857,2
1720,4369.8047,1114.1077,175.28392,4857,3
1721,4292.3457,1120.0122,209.3636,4858,0
1722,4280.608,1119.0139,225.98007,4858,1
1723,4278.8228,1128.1632,289.2543,4858,2
1724,4303.1865,1135.6598,289.2014,4858,3
1725,4304.5894,1126.0798,224.48695,4858,4
1726,4292.225,1120.0209,209.52802,4858,5
1727,4487.8716,1218.9879,180.91617,4859,0
1728,4474.596,1233.5192,266.2185,4859,1
1729,4491.5767,1237.1007,267.0578,4859,2
1730,4487.6987,1219.2882,182.96661,4859,3
1731,4543.9062,1289.1666,272.42142,4868,0
1732,4549.385,1283.0139,233.43262,4868,1
1733,4569.519,1252.4132,214.61458,4869,0
1734,4572.6587,1240.8577,131.81122,4869,1
1735,4572.2407,1358.9445,266.88846,4885,0
1736,4593.0513,1362.6649,193.82216,4885,1
1737,4634.127,1412.4966,70.0877,4886,0
1738,4624.436,1401.6406,142.97466,4886,1
1739,4622.4497,1421.8872,142.50856,4886,2
1740,4633.9478,1412.9948,70.7255,4886,3
1741,2211.8994,-50.869793,463.53647,4396,2
1742,2249.3784,-50.626736,462.82608,4396,3
1743,2252.4827,-56.331596,405.63528,4396,4
1744,2231.6875,-59.381947,376.83548,4396,5
1745,2440.0642,-155.12326,61.1785,4428,3
1746,2421.3784,-143.97917,209.77446,4428,4
1747,2413.2727,-141.80208,286.57324,4428,5
1750,2436.2065,-167.64062,116.49306,4989,0
1751,2426.9358,-194.03645,279.9479,4989,1
1752,2414.2917,-142.6875,276.348,4989,2
1753,2435.8872,-167.18924,115.95486,4989,3
