ID,Body_lang
83,this is a test
84,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
85,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
86,"This small token will give no answers, but perhaps it will be of some amusement to you."
87,"Hello there again.  I'm Gubber Blump.

I hope you are doing real well.  I hope you are still fishing too.  I love fishing.  The Blump family is known for fishing.  Here is a bauble, so that you can fish a little better.  I love using them when I fish.  Good luck, and thank you again for helping me catch them groupers from before.

Keep on fishing!

Gubber Blump"
88,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
89,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
90,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
91,"This small token will give no answers, but perhaps it will be of some amusement to you."
92,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
93,"Esteemed $N,$B$BI went through the stack of texts you brought me and I decoded the attached articles for you.  I carefully selected only those items which I thought would be of use.  It was quite problematic to get to a mailbox without being seen, but months of hiding in the desert have turned me into quite a sneak!$B$BI hope you enjoy these.$B$B-Ortell"
94,"Greetings, $N!$B$BI'm getting pretty good at sneaking into Cenarion Hold to use their mailbox.  Again, I've attached some items that might be of interest.  Hope something in there is of use to you!$B$B-Ortell"
95,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
96,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
97,"Thank you for visiting me, $N. It makes me happy to know we are not forgotten."
98,"It took much time to translate the high chief's text. I was dismayed by what I found. High Chief Winterfall was in an extreme state of paranoia in his last days and was addicted to a substance he called ""firewater."" He believed that all creatures were his enemies. Well, I will let you read it for yourself -- I have included a translation of his words with this letter. If you are ever in need, please visit me again."
99,"Thank you for renewing your membership with the Mechanical Engineering Guild, Associated!  We are delighted to have you as an active member.  Please accept this gift as a token of our appreciation for the wonderful contributions you continue to make to the world of gnome engineering."
100,"Thank you for renewing your membership with the Mechanical Engineering Guild, Associated!  We are delighted to have you as an active member.  Please accept this gift as a token of our appreciation for the wonderful contributions you continue to make to the world of gnome engineering."
101,"My friend - though my arm is weary from the battle we continue to wage in the Plaguelands, it is always strong enough to pen this missive to a hero such as you.  It pleases me to know the aid you rendered us continues to yield benefits, ones we try to enact upon on a daily basis.

Should you find yourself in the Western Plaguelands soon, please stop by the Bulwark.  Your seasoned hand would be most welcomed in a cauldron run!

Yours in the Darkness:
High Executor Derrington"
102,"Ho Ho Hello, $N!  I hope you have a fantastic Feast of Winter Veil!$B$BYou were so nice in helping me out with my sweet tooth, that I wanted to send you a little something extra.  It's a sampler of delicious Smokywood Pastures treats.  If you haven't gotten any yet, be sure to do so before the season ends!$B$BSeasons Greetings...$BGreatfather Winter"
103,Thank you for renewing your membership with the Goblin Experimental Engineering Korporation!  We are delighted to have you as an active member.  Please accept this gift as a token of our appreciation for the wonderful contributions you continue to make to the world of goblin engineering.
104,Thank you for renewing your membership with the Goblin Experimental Engineering Korporation!  We are delighted to have you as an active member.  Please accept this gift as a token of our appreciation for the wonderful contributions you continue to make to the world of goblin engineering.
105,This mail was sent to you because you signed up for Viagra! More text.
106,"Those rabbits came back!  NO!  Oh, don't bother coming back..."
107,"Greetings my friend - though my arm is weary from the battle we continue to wage in the ruins of Lordaeron, it is always strong enough to pen this missive to a hero such as you.  It pleases me to know the aid you lent us days ago continues to yield benefits, ones we try to enact upon on a daily basis.

Should you find yourself in the Western Plaguelands soon, please stop by the camp.  Your seasoned hand would be most welcomed in a cauldron run!

For Stormwind!
Commander Ashlam Valorfist"
