ID,ShapeType,StartShapeID,Field_10_1_5_49516_002
6652,0,192,0
7015,0,107,0
17250,0,85,0
17939,0,80,0
18390,4,107,0
18575,0,85,0
19545,0,48,0
20115,0,69,0
21111,0,107,0
21794,0,47,0
22746,0,103,0
22849,0,49,0
22854,0,103,0
22922,0,103,0
22973,0,103,0
23031,0,107,0
23069,0,92,0
23113,0,202,0
23315,0,166,0
23389,0,68,0
23604,0,68,0
23845,0,49,0
24057,7,8,0
24546,0,48,0
24920,4,71,0
24933,0,107,0
24939,0,766,0
25962,0,47,0
26780,4,836,0
27376,0,149,0
27379,4,155,0
28580,4,20,0
28851,4,12,0
29968,0,48,0
30201,0,48,0
30537,0,69,0
30538,0,48,0
30541,0,48,0
30888,0,69,0
30889,0,69,0
30890,0,85,0
31918,4,1077,0
31947,4,703,0
32139,0,48,0
32156,0,69,0
32158,0,85,0
32162,0,69,0
32379,4,1086,0
32454,4,1093,0
33028,0,80,0
33249,0,103,0
33325,0,85,0
33883,4,601,0
33884,4,601,0
33973,4,1187,0
33974,0,68,0
34195,0,81,0
