ID,TraitTreeID
58,239
59,240
84,276
102,302
103,303
105,305
124,348
126,350
128,352
129,353
130,354
131,355
134,376
135,377
143,403
144,404
145,405
147,407
148,408
160,444
161,445
162,446
164,448
169,469
176,478
204,557
205,558
206,559
207,560
211,601
212,602
213,603
234,640
235,641
236,642
240,673
244,698
245,699
257,903
258,904
259,905
271,919
272,920
273,921
287,935
289,937
290,938
291,939
298,946
302,950
303,951
312,960
313,961
314,962
315,963
316,965
317,966
320,969
322,971
323,972
324,973
325,974
326,975
327,978
328,979
329,980
330,981
331,982
332,983
333,984
334,987
335,988
336,989
337,990
338,991
341,994
342,995
343,996
345,998
346,999
347,1001
348,1002
349,1003
350,1004
351,1005
352,1006
353,1007
354,1008
356,1067
357,1068
358,1069
359,1070
360,1071
361,1072
362,1073
363,1074
364,1075
365,1076
366,1080
379,1105
380,1106
381,1107
385,1119
386,1120
387,1121
388,1122
389,1123
390,1124
391,1125
392,1126
393,1127
394,1128
395,1129
396,1130
397,1131
398,1132
399,1133
401,1136
402,1137
403,1138
404,1139
405,1140
406,1142
407,1143
408,1144
409,1152
410,1153
411,1154
412,1155
413,1156
414,1157
415,1158
416,1159
417,1173
418,1175
419,1176
420,1181
421,1182
