ID,ChrCustomizationOptionID,ChrCustomizationChoiceID,CreatureDisplayInfoExtraID
603932,30,17377,47
603933,31,17395,47
603934,32,17400,47
603935,33,17417,47
603936,34,17428,47
603942,9,17163,30
603943,10,17175,30
603944,11,17194,30
603945,12,17200,30
603946,13,17212,30
603947,9,17160,45
603948,10,17180,45
603949,11,17184,45
603950,12,17196,45
603951,13,17208,45
603952,9,17164,54
603953,10,17182,54
603954,11,17187,54
603955,12,17205,54
603956,13,17208,54
603957,9,17162,57
603958,10,17182,57
603959,11,17190,57
603960,12,17197,57
603961,13,17210,57
603962,9,17161,58
603963,10,17174,58
603964,11,17185,58
603965,12,17200,58
603966,13,17207,58
603967,9,17160,59
603968,10,17181,59
603969,11,17192,59
603970,12,17205,59
603971,13,17214,59
603972,9,17162,60
603973,10,17172,60
603974,11,17185,60
603975,12,17199,60
603976,13,17212,60
603977,9,17160,61
603978,10,17181,61
603979,11,17192,61
603980,12,17203,61
603981,13,17214,61
603982,9,17169,62
603983,10,17172,62
603984,11,17184,62
603985,12,17198,62
603986,13,17211,62
603987,9,17163,63
603988,10,17183,63
603989,11,17189,63
603990,12,17200,63
603991,13,17209,63
603992,9,17160,64
603993,10,17182,64
603994,11,17195,64
603995,12,17205,64
603996,13,17209,64
603997,9,17162,68
603998,10,17173,68
603999,11,17185,68
604000,12,17198,68
604001,13,17206,68
604002,9,17163,69
604003,10,17174,69
604004,11,17186,69
604005,12,17197,69
604006,13,17212,69
604007,9,17160,136
604008,10,17172,136
604009,11,17185,136
604010,12,17196,136
604011,13,17214,136
604012,9,17162,137
604013,10,17179,137
604014,11,17185,137
604015,12,17201,137
604016,13,17209,137
604017,9,17163,141
604018,10,17174,141
604019,11,17189,141
604020,12,17203,141
604021,13,17208,141
604022,9,17164,147
604023,10,17174,147
604024,11,17191,147
604025,12,17203,147
604026,13,17209,147
604027,9,17163,151
604028,10,17173,151
604029,11,17194,151
604030,12,17199,151
604031,13,17211,151
604032,9,17167,155
604033,10,17180,155
604034,11,17192,155
604035,12,17200,155
604036,13,17207,155
604037,9,17161,165
604038,10,17181,165
604039,11,17187,165
604040,12,17197,165
604041,13,17208,165
604042,9,17164,167
604043,10,17176,167
604044,11,17194,167
604045,12,17203,167
604046,13,17210,167
604047,9,17163,168
604048,10,17176,168
604049,11,17188,168
604050,12,17196,168
604051,13,17206,168
604052,9,17163,170
604053,10,17182,170
604054,11,17192,170
604055,12,17205,170
604056,13,17210,170
604057,9,17167,171
604058,10,17181,171
604059,11,17187,171
604060,12,17196,171
604061,13,17211,171
604062,9,17162,174
604063,10,17180,174
604064,11,17192,174
604065,12,17204,174
604066,13,17210,174
604067,9,17164,176
604068,10,17181,176
604069,11,17186,176
604070,12,17205,176
604071,13,17213,176
604072,9,17165,177
604073,10,17179,177
604074,11,17185,177
604075,12,17197,177
604076,13,17206,177
604077,9,17160,179
604078,10,17175,179
604079,11,17189,179
604080,12,17200,179
