ID,Type,SplineType,Red,Green,Blue,Alpha,Flags
3032,2,2,255,0,255,255,0
3036,2,2,255,161,0,255,0
3038,3,0,0,255,0,255,0
3039,3,0,188,255,0,255,0
3040,3,0,0,255,197,255,0
3041,3,0,116,255,0,255,0
3042,3,0,0,255,116,255,0
3043,3,0,0,255,215,255,0
3044,2,2,185,185,185,255,0
3045,3,0,255,0,0,255,0
3046,3,0,255,0,0,255,0
3047,2,2,255,255,0,255,0
3049,3,0,20,0,193,255,0
3050,3,0,235,33,0,255,0
3051,3,0,10,235,0,255,0
3052,3,0,243,247,0,255,0
3058,3,0,0,128,227,255,0
3059,3,0,206,94,0,255,0
3060,3,0,155,0,176,255,0
3061,3,0,0,108,110,255,0
3062,3,0,70,0,51,255,0
3093,2,2,255,0,0,255,0
3094,2,2,210,210,210,255,0
3095,3,1,59,130,0,255,0
3096,3,1,25,236,0,255,0
3097,3,1,255,0,0,255,0
3110,4,1,16,67,141,255,0
3111,3,0,42,45,136,255,0
3113,3,0,130,109,0,255,0
3114,3,0,18,0,168,255,0
3116,3,0,5,155,0,255,0
3117,3,0,255,0,255,255,0
3118,3,0,255,0,255,255,0
3120,3,0,255,0,255,255,0
3131,2,2,255,0,255,255,0
3155,3,0,255,0,255,255,0
3159,3,0,255,0,255,255,0
3164,3,0,255,0,255,255,0
3165,3,0,0,80,0,255,0
3166,3,0,7,199,0,255,0
3181,3,0,255,0,255,255,0
3182,3,0,255,0,255,255,0
3226,5,3,189,189,255,255,1
3227,3,4,216,219,0,255,1
3231,3,0,14,0,79,255,0
3232,3,0,17,79,0,255,0
3233,3,0,17,79,0,255,0
3234,3,0,17,79,0,255,0
3245,3,0,255,0,255,255,0
3246,3,0,0,190,216,207,0
3368,2,2,255,0,255,255,0
3369,2,2,255,0,255,255,0
3370,2,2,0,0,255,255,0
3371,2,2,0,0,255,255,0
3372,2,2,0,0,255,255,0
3373,2,2,255,125,0,255,0
3374,2,2,255,125,0,255,0
3375,2,2,255,125,0,255,0
3376,2,2,0,255,0,255,0
3377,2,2,255,0,0,255,0
3378,2,2,255,0,0,255,0
3379,2,2,255,0,0,255,0
3380,2,2,255,0,0,255,0
3381,2,2,255,0,0,255,0
3382,2,2,255,0,0,255,0
3383,2,2,255,0,255,255,0
3384,2,2,255,0,255,255,0
3385,2,2,0,255,0,255,0
3386,2,2,0,255,0,255,0
3387,2,2,0,255,0,255,0
3389,2,2,255,0,255,255,0
3391,2,2,255,0,255,255,0
3392,2,2,255,0,255,255,0
3393,2,2,255,0,255,255,0
3394,2,2,255,0,255,255,0
3395,2,2,255,0,255,255,0
3396,2,2,255,0,255,255,0
3397,2,2,255,0,255,255,0
3398,2,2,255,0,255,255,0
3399,2,2,0,255,0,255,0
3400,2,2,0,255,0,255,0
3401,2,2,0,255,0,255,0
3402,2,2,0,255,0,255,0
3403,2,2,0,255,0,255,0
3404,2,2,0,255,0,255,0
3405,2,2,0,255,0,255,0
3406,2,2,0,255,0,255,0
3407,2,2,0,255,0,255,0
3408,2,2,0,255,0,255,0
3409,2,2,0,255,0,255,0
3410,2,2,0,255,0,255,0
