ID,DisplayRaceID,DisplaySexID,DisplayClassID,SkinID,FaceID,HairStyleID,HairColorID,FacialHairID,Flags,BakeMaterialResourcesID,HDBakeMaterialResourcesID,CustomDisplayOption[0],CustomDisplayOption[1],CustomDisplayOption[2]
23,3,0,0,1,1,6,3,2,0,116271,0,0,0,0
30,1,0,0,3,3,10,4,6,0,116945,0,0,0,0
32,1,1,0,0,0,0,0,0,0,116946,0,0,0,0
36,1,1,0,0,0,0,0,0,0,116947,0,0,0,0
43,1,1,0,2,1,11,3,0,0,116948,0,0,0,0
45,1,0,0,0,8,0,0,2,0,116949,0,0,0,0
46,5,0,0,4,8,0,0,0,0,116950,0,0,0,0
47,3,0,0,6,5,0,6,7,0,116273,0,0,0,0
48,1,1,0,1,1,1,0,0,0,116951,0,0,0,0
49,3,0,0,0,5,0,1,3,0,116275,0,0,0,0
50,3,0,0,0,3,8,1,1,0,116277,0,0,0,0
52,4,0,0,5,1,3,3,2,0,116952,0,0,0,0
53,3,1,0,2,1,3,3,0,0,116333,0,0,0,0
54,1,0,0,4,10,3,9,2,0,116953,0,0,0,0
56,1,1,0,3,2,14,0,0,0,116954,0,0,0,0
57,1,0,0,2,10,6,1,4,0,116955,0,0,0,0
58,1,0,0,1,2,1,4,1,0,116956,0,0,0,0
59,1,0,0,0,9,8,9,8,0,116957,0,0,0,0
60,1,0,0,2,0,1,3,6,0,116958,0,0,0,0
61,1,0,0,0,9,8,7,8,0,116959,0,0,0,0
62,1,0,0,9,0,0,2,5,0,116960,0,0,0,0
63,1,0,0,3,11,5,4,3,0,116961,0,0,0,0
64,1,0,0,0,10,11,9,3,0,116962,0,0,0,0
65,1,1,0,1,3,17,2,0,0,116963,0,0,0,0
66,1,1,0,1,1,2,5,0,0,116964,0,0,0,0
67,1,1,0,2,10,7,0,0,0,116965,0,0,0,0
68,1,0,0,2,1,1,2,0,0,116966,0,0,0,0
69,1,0,0,3,2,2,1,6,0,116967,0,0,0,0
70,1,1,0,3,9,11,4,0,0,116968,0,0,0,0
71,2,0,0,6,4,5,5,3,0,116969,0,0,0,0
73,2,1,0,1,5,2,0,6,0,112792,0,0,0,0
74,2,0,0,3,8,4,1,1,0,116971,0,0,0,0
75,2,0,0,1,0,3,3,0,0,116973,0,0,0,0
77,2,0,0,3,7,2,5,9,0,116975,0,0,0,0
78,2,0,0,7,0,2,3,1,0,116977,0,0,0,0
79,2,0,0,2,3,1,0,4,0,116979,0,0,0,0
81,2,1,0,0,7,1,2,3,0,112810,0,0,0,0
83,2,0,0,3,0,4,6,4,0,116981,0,0,0,0
84,6,1,0,5,3,5,1,3,0,116983,0,0,0,0
85,2,0,0,6,6,5,2,6,0,116984,0,0,0,0
86,2,0,0,3,2,3,1,2,0,116986,0,0,0,0
87,2,0,0,3,7,5,5,9,0,116988,0,0,0,0
90,2,1,0,5,3,7,5,5,0,112808,0,0,0,0
91,2,0,0,4,0,2,0,1,0,116990,0,0,0,0
92,2,0,0,3,8,4,0,3,0,116992,0,0,0,0
93,2,0,0,6,5,0,0,4,0,116994,0,0,0,0
94,2,0,0,7,4,2,5,2,0,116996,0,0,0,0
95,2,0,0,4,0,3,1,3,0,116998,0,0,0,0
96,2,0,0,5,1,0,6,2,0,117000,0,0,0,0
97,2,1,0,5,8,0,0,1,0,112806,0,0,0,0
98,2,0,0,7,3,2,2,1,0,117002,0,0,0,0
99,2,0,0,3,7,4,5,2,0,117004,0,0,0,0
100,2,1,0,2,2,4,4,4,0,112804,0,0,0,0
101,2,0,0,0,1,1,1,1,0,117006,0,0,0,0
102,2,1,0,0,5,1,0,6,0,112802,0,0,0,0
103,2,0,0,2,8,3,3,6,0,117008,0,0,0,0
105,2,0,0,0,1,5,7,4,0,117010,0,0,0,0
106,2,0,0,2,6,2,2,3,0,117012,0,0,0,0
107,2,0,0,5,8,4,6,2,0,117014,0,0,0,0
108,2,0,0,8,1,3,0,0,0,117016,0,0,0,0
110,2,0,0,0,3,4,1,4,0,117018,0,0,0,0
111,2,0,0,4,8,1,0,5,0,117020,0,0,0,0
112,2,0,0,2,1,3,1,6,0,117022,0,0,0,0
113,2,0,0,3,5,1,0,3,0,117024,0,0,0,0
114,2,0,0,0,2,2,1,3,0,117026,0,0,0,0
115,2,1,0,2,4,5,2,5,0,112800,0,0,0,0
116,2,0,0,3,4,4,6,4,0,117028,0,0,0,0
117,2,1,0,4,0,1,1,4,0,112798,0,0,0,0
118,2,1,0,0,3,4,7,0,0,112796,0,0,0,0
119,2,0,0,0,7,2,1,1,0,117030,0,0,0,0
120,2,0,0,5,8,4,1,5,0,117032,0,0,0,0
121,2,0,0,3,2,3,1,1,0,117034,0,0,0,0
122,2,0,0,0,8,2,0,1,0,117036,0,0,0,0
124,2,0,0,1,4,4,5,3,0,117038,0,0,0,0
126,2,1,0,5,4,7,5,4,0,112794,0,0,0,0
127,2,0,0,5,7,5,1,1,0,117040,0,0,0,0
128,2,0,0,4,5,1,0,2,0,117042,0,0,0,0
129,2,0,0,0,1,2,0,0,0,117044,0,0,0,0
131,2,0,0,6,4,3,3,3,0,117046,0,0,0,0
132,2,0,0,3,2,5,5,4,0,117048,0,0,0,0
133,3,0,0,1,2,1,0,1,0,116279,0,0,0,0
134,2,0,0,3,4,5,1,3,0,117050,0,0,0,0
135,3,0,0,1,2,5,7,7,0,116281,0,0,0,0
136,1,0,0,0,0,1,0,8,0,117052,0,0,0,0
137,1,0,0,2,7,1,5,3,0,117053,0,0,0,0
138,1,1,0,1,5,3,2,0,0,117054,0,0,0,0
139,3,0,0,1,1,3,4,6,0,116283,0,0,0,0
140,3,0,0,0,7,0,5,8,0,116285,0,0,0,0
141,1,0,0,3,2,5,7,2,0,117055,0,0,0,0
142,5,0,0,1,9,0,1,0,0,117056,0,0,0,0
143,3,0,0,1,0,0,3,9,0,116287,0,0,0,0
144,3,0,0,2,9,1,4,4,0,116289,0,0,0,0
145,3,0,0,8,1,0,5,0,0,116291,0,0,0,0
146,3,0,0,6,7,3,1,9,0,116293,0,0,0,0
147,1,0,0,4,2,7,7,3,0,117057,0,0,0,0
148,3,0,0,3,2,0,1,0,0,116295,0,0,0,0
149,3,1,0,1,6,10,8,0,0,116335,0,0,0,0
150,3,0,0,2,4,6,5,8,0,116297,0,0,0,0
151,1,0,0,3,1,10,3,5,0,117058,0,0,0,0
152,3,1,0,1,0,1,1,0,0,116337,0,0,0,0
153,3,0,0,6,8,7,4,6,0,116299,0,0,0,0
154,3,1,0,2,1,4,1,0,0,116339,0,0,0,0
155,1,0,0,7,8,8,4,1,0,117059,0,0,0,0
156,3,0,0,2,3,1,1,4,0,116301,0,0,0,0
157,3,0,0,1,7,7,7,3,0,116303,0,0,0,0
158,3,0,0,0,0,5,2,1,0,116305,0,0,0,0
159,3,0,0,2,2,1,1,10,0,116307,0,0,0,0
160,3,0,0,1,8,1,7,4,0,116309,0,0,0,0
161,3,0,0,1,6,9,3,10,0,116311,0,0,0,0
162,2,0,0,6,6,1,3,4,0,117060,0,0,0,0
163,1,1,0,4,4,8,6,0,0,117062,0,0,0,0
165,1,0,0,1,9,3,1,2,0,117063,0,0,0,0
166,1,1,0,3,0,2,3,1,0,117064,0,0,0,0
167,1,0,0,4,4,10,7,4,0,117065,0,0,0,0
168,1,0,0,3,4,4,0,0,0,117066,0,0,0,0
169,1,1,0,0,2,4,5,1,0,117067,0,0,0,0
170,1,0,0,3,10,8,9,4,0,117068,0,0,0,0
171,1,0,0,7,9,3,0,5,0,117069,0,0,0,0
172,1,1,0,7,12,6,0,0,0,117070,0,0,0,0
173,1,1,0,2,0,3,5,1,0,117071,0,0,0,0
174,1,0,0,2,8,8,8,4,0,117072,0,0,0,0
175,1,1,0,2,4,4,2,1,0,117073,0,0,0,0
176,1,0,0,4,9,2,9,7,0,117074,0,0,0,0
177,1,0,0,5,7,1,1,0,0,117075,0,0,0,0
178,1,1,0,4,10,7,1,3,0,117076,0,0,0,0
179,1,0,0,0,3,5,4,2,0,117077,0,0,0,0
180,1,1,0,2,8,5,3,0,0,117078,0,0,0,0
181,1,1,0,2,11,16,1,2,0,117079,0,0,0,0
182,1,0,0,0,7,1,2,8,0,117080,0,0,0,0
183,1,1,0,3,8,9,4,5,0,117081,0,0,0,0
184,1,0,0,2,0,0,1,2,0,117082,0,0,0,0
185,1,0,0,1,2,7,0,1,0,117083,0,0,0,0
186,1,0,0,3,8,1,2,4,0,117084,0,0,0,0
187,1,1,0,3,5,7,2,3,0,117085,0,0,0,0
188,1,0,0,1,4,1,5,7,0,117086,0,0,0,0
189,1,1,0,2,1,10,5,0,0,117087,0,0,0,0
190,1,1,0,1,9,11,0,4,0,117088,0,0,0,0
191,1,0,0,3,0,5,0,1,0,117089,0,0,0,0
192,1,0,0,0,3,10,0,1,0,117090,0,0,0,0
193,1,1,0,0,14,2,0,0,0,117091,0,0,0,0
194,1,1,0,2,2,4,3,1,0,117092,0,0,0,0
195,1,0,0,1,9,8,7,4,0,117093,0,0,0,0
196,1,0,0,7,3,3,8,5,0,117094,0,0,0,0
197,1,0,0,3,5,6,1,5,0,117095,0,0,0,0
198,1,1,0,1,7,5,0,4,0,117096,0,0,0,0
199,1,1,0,2,2,14,3,1,0,117097,0,0,0,0
200,1,0,0,1,6,3,8,1,0,117098,0,0,0,0
201,1,0,0,3,0,1,4,6,0,117099,0,0,0,0
202,1,0,0,0,10,1,0,4,0,117100,0,0,0,0
203,1,0,0,9,0,4,0,2,0,117101,0,0,0,0
204,1,1,0,1,0,17,5,1,0,117102,0,0,0,0
205,1,0,0,2,0,1,3,0,0,117103,0,0,0,0
206,1,0,0,3,3,6,8,5,0,117104,0,0,0,0
207,1,1,0,1,1,1,5,0,0,117105,0,0,0,0
208,1,0,0,4,8,0,0,2,0,117106,0,0,0,0
209,1,0,0,0,7,1,4,7,0,117107,0,0,0,0
210,1,1,0,4,4,3,4,1,0,117108,0,0,0,0
211,1,1,0,1,2,8,3,0,0,117109,0,0,0,0
212,1,1,0,2,1,9,5,6,0,117110,0,0,0,0
213,1,1,0,0,5,14,3,5,0,132200,0,0,0,0
214,1,1,0,2,11,13,2,0,0,132202,0,0,0,0
215,1,1,0,1,1,4,5,0,0,132204,0,0,0,0
216,1,1,0,2,4,1,1,0,0,132206,0,0,0,0
217,1,1,0,2,8,10,2,4,0,132208,0,0,0,0
218,1,1,0,3,9,11,4,2,0,132210,0,0,0,0
219,1,0,0,2,2,2,0,2,0,156094,0,0,0,0
220,1,0,0,1,7,1,1,5,0,156096,0,0,0,0
221,1,0,0,1,10,8,9,4,0,156098,0,0,0,0
222,1,0,0,1,11,10,1,6,0,156100,0,0,0,0
223,1,0,0,2,4,1,4,7,0,156102,0,0,0,0
224,1,0,0,1,8,1,7,6,0,156104,0,0,0,0
225,1,0,0,1,1,2,1,8,0,156106,0,0,0,0
226,1,0,0,3,10,6,2,0,0,156108,0,0,0,0
227,1,0,0,1,2,9,0,1,0,156110,0,0,0,0
228,1,0,0,2,10,10,8,4,0,156112,0,0,0,0
229,3,0,0,2,3,2,4,1,0,116313,0,0,0,0
230,1,0,0,2,9,1,3,5,0,156114,0,0,0,0
231,1,0,0,1,3,4,4,6,0,156116,0,0,0,0
232,1,0,0,1,4,3,6,7,0,156118,0,0,0,0
233,1,0,0,0,11,4,5,3,0,156120,0,0,0,0
234,1,0,0,3,2,11,0,0,0,156122,0,0,0,0
235,1,0,0,3,7,0,3,3,0,156124,0,0,0,0
236,1,0,0,1,2,2,3,6,0,156126,0,0,0,0
237,1,0,0,4,7,5,8,5,0,156128,0,0,0,0
238,1,0,0,2,7,1,1,7,0,156130,0,0,0,0
239,1,0,0,1,10,3,9,5,0,156132,0,0,0,0
240,1,1,0,3,2,8,1,0,0,132212,0,0,0,0
241,1,1,0,1,4,14,3,1,0,132214,0,0,0,0
242,1,1,0,4,9,18,5,1,0,132216,0,0,0,0
243,1,1,0,2,4,6,3,6,0,132218,0,0,0,0
244,1,0,0,1,0,1,4,7,0,156134,0,0,0,0
245,1,0,0,3,10,11,6,4,0,156136,0,0,0,0
246,1,1,0,4,2,10,6,0,0,132220,0,0,0,0
247,4,0,0,1,0,4,2,2,0,175558,0,0,0,0
248,4,1,0,2,0,5,1,0,0,130228,0,0,0,0
249,4,0,0,5,0,3,4,4,0,175556,0,0,0,0
250,1,0,0,2,8,1,4,4,0,156138,0,0,0,0
251,4,0,0,0,2,0,2,2,0,175554,0,0,0,0
252,1,1,0,2,13,16,9,0,0,132222,0,0,0,0
253,1,1,0,3,4,3,1,0,0,132224,0,0,0,0
254,6,0,0,7,1,6,2,2,0,114506,0,0,0,0
255,6,1,0,2,1,1,1,0,0,135964,0,0,0,0
256,1,1,0,3,9,3,8,0,0,132226,0,0,0,0
257,5,0,0,4,0,6,9,7,0,136895,0,0,0,0
258,1,0,0,1,10,3,0,7,0,156140,0,0,0,0
259,1,1,0,0,0,0,0,0,0,132228,0,0,0,0
261,5,0,0,4,7,5,3,12,0,136898,0,0,0,0
262,5,1,0,4,0,4,9,0,0,147519,0,0,0,0
263,5,0,0,3,2,2,3,6,0,136901,0,0,0,0
264,5,1,0,5,2,3,5,7,0,147521,0,0,0,0
265,5,1,0,2,5,2,7,3,0,147523,0,0,0,0
266,5,1,0,3,7,7,0,0,0,147525,0,0,0,0
267,3,0,0,6,5,0,0,8,0,116315,0,0,0,0
268,5,0,0,0,1,0,0,0,0,136903,0,0,0,0
269,5,1,0,0,0,0,0,0,0,147527,0,0,0,0
271,5,0,0,2,7,7,1,11,0,136905,0,0,0,0
272,5,0,0,0,4,3,7,2,0,136907,0,0,0,0
273,5,0,0,3,3,4,3,13,0,136909,0,0,0,0
274,5,0,0,4,2,2,7,0,0,136911,0,0,0,0
275,5,0,0,0,1,1,2,16,0,136913,0,0,0,0
276,5,0,0,1,5,5,3,16,0,136915,0,0,0,0
277,3,0,0,5,1,0,3,5,0,116317,0,0,0,0
278,5,0,0,4,0,8,8,16,0,136917,0,0,0,0
279,5,0,0,0,3,8,2,5,0,136919,0,0,0,0
281,5,0,0,5,4,2,4,0,0,136921,0,0,0,0
282,3,0,0,2,6,0,6,6,0,116319,0,0,0,0
283,5,0,0,5,3,6,2,1,0,136923,0,0,0,0
284,3,0,0,0,0,6,4,2,0,116321,0,0,0,0
285,5,0,0,1,7,8,5,0,0,136925,0,0,0,0
286,5,0,0,0,9,5,1,0,0,136927,0,0,0,0
287,1,1,0,2,10,14,9,1,0,132230,0,0,0,0
288,5,0,0,0,5,7,1,10,0,136929,0,0,0,0
289,3,0,0,6,4,0,3,3,0,116323,0,0,0,0
290,5,0,0,0,8,0,3,13,0,136931,0,0,0,0
291,5,0,0,4,2,1,1,1,0,136933,0,0,0,0
292,1,0,0,4,5,3,4,0,0,156142,0,0,0,0
293,5,0,0,5,6,9,5,15,0,136935,0,0,0,0
294,5,0,0,0,0,0,0,9,0,136937,0,0,0,0
295,5,0,0,0,8,1,1,10,0,136941,0,0,0,0
296,5,0,0,4,3,6,8,4,0,136943,0,0,0,0
298,5,0,0,3,5,1,6,13,0,136945,0,0,0,0
299,5,0,0,1,6,3,3,0,0,136947,0,0,0,0
300,5,1,0,2,0,7,1,5,0,147529,0,0,0,0
301,5,1,0,0,4,4,5,5,0,147531,0,0,0,0
302,5,1,0,3,8,2,4,4,0,147533,0,0,0,0
304,3,0,0,2,6,1,0,2,0,116325,0,0,0,0
305,3,0,0,0,7,5,5,4,0,116765,0,0,0,0
306,3,0,0,0,0,0,0,0,0,116767,0,0,0,0
307,3,1,0,0,0,0,0,0,0,116341,0,0,0,0
308,5,0,0,0,0,0,0,10,0,136949,0,0,0,0
309,5,0,0,4,3,7,4,6,0,136951,0,0,0,0
310,5,1,0,0,0,0,0,0,0,147535,0,0,0,0
311,5,0,0,2,2,6,7,9,0,136953,0,0,0,0
312,1,0,0,0,0,0,0,0,0,156144,0,0,0,0
313,1,1,0,0,0,0,0,0,0,132232,0,0,0,0
314,1,0,0,0,0,0,0,0,0,156146,0,0,0,0
315,4,1,0,8,6,0,7,4,0,130230,0,0,0,0
316,1,0,0,0,0,0,0,0,0,156148,0,0,0,0
317,1,1,0,0,0,0,0,0,0,132234,0,0,0,0
318,1,0,0,2,4,3,0,7,0,156150,0,0,0,0
319,1,1,0,0,0,0,0,0,0,132236,0,0,0,0
320,7,0,0,0,0,0,0,0,0,208581,0,0,0,0
321,5,1,0,1,4,4,9,5,0,147537,0,0,0,0
322,5,0,0,0,4,9,7,1,0,136955,0,0,0,0
323,1,0,0,2,0,6,9,7,0,156152,0,0,0,0
325,2,0,0,9,0,4,7,4,0,173693,0,0,0,0
326,5,1,0,3,3,5,4,7,0,147539,0,0,0,0
327,3,1,0,5,4,1,5,0,0,116343,0,0,0,0
328,1,0,0,0,2,10,0,6,0,156154,0,0,0,0
