ID,LabelID,GameObjectID
2,1637,377989
3,969,375234
4,1716,375234
5,1762,375234
6,969,375235
7,1716,375235
8,1762,375235
9,969,375236
10,1716,375236
11,1762,375236
12,969,375238
13,1716,375238
14,1762,375238
15,969,375239
16,1716,375239
17,1762,375239
18,969,375240
19,1716,375240
20,1762,375240
21,969,379248
22,969,379249
23,969,379250
24,969,379251
25,969,379252
26,1762,379263
27,969,379263
28,1762,379264
29,969,379264
30,1762,379265
31,969,379265
32,1762,379266
33,969,379266
34,1762,379267
35,969,379267
36,1762,379268
37,969,379268
38,1762,379269
39,969,379269
40,1762,379270
41,969,379270
42,1762,379271
43,969,379271
44,1762,379272
45,969,379272
46,969,381102
47,969,381103
48,1762,381104
49,969,381104
50,1762,381105
51,969,381105
52,1762,381106
53,969,381106
60,969,381515
61,1716,381515
62,1762,381515
63,969,381516
64,1716,381516
65,1762,381516
66,969,381517
67,1716,381517
68,1762,381517
69,969,381518
70,1716,381518
71,1762,381518
72,969,381519
73,1716,381519
74,1762,381519
78,969,381209
79,969,381207
80,969,381154
81,969,375241
82,1845,375242
83,1930,375242
84,1845,375243
85,1930,375243
86,1845,375244
87,1930,375244
88,1845,375245
89,1930,375245
90,1845,375246
91,1930,375246
92,1845,381210
93,1930,381210
94,1845,381211
95,1930,381211
96,1845,381214
97,1930,381214
98,1845,381213
99,1930,381213
100,1845,381212
101,1930,381212
102,1845,381196
103,1930,381196
104,1845,381197
105,1930,381197
106,1845,381200
107,1930,381200
108,1845,381199
109,1930,381199
110,1845,381198
111,1930,381198
112,1845,381205
113,1930,381205
114,1845,381204
115,1930,381204
116,1845,381201
117,1930,381201
118,1845,381202
119,1930,381202
120,1845,381203
121,1930,381203
122,1845,381957
123,969,381957
124,1845,381958
125,969,381958
126,1845,381959
127,969,381959
128,1845,381960
129,969,381960
130,969,375242
131,969,375243
132,969,375244
133,969,375245
134,969,375246
135,969,381196
136,969,381197
137,969,381198
138,969,381199
139,969,381200
140,969,381201
141,969,381202
142,969,381203
143,969,381204
144,969,381205
145,969,381210
146,969,381211
147,969,381212
148,969,381213
149,969,381214
152,1930,381957
153,1930,381958
154,1930,381959
155,1930,381960
156,969,384291
157,1930,384291
158,969,384293
159,1930,384293
160,969,384294
161,1930,384294
162,969,384295
163,1930,384295
164,969,384296
165,1930,384296
166,1845,384296
167,969,384297
168,1930,384297
169,1845,384297
170,1943,384297
171,969,384298
172,1930,384298
173,1845,384298
174,1943,384298
175,969,384299
176,1930,384299
177,1845,384299
178,1943,384299
179,1943,384296
182,969,381479
183,1762,381479
184,1716,381479
185,969,375647
186,1762,375647
187,1716,375647
188,1717,375240
189,1727,375240
190,1893,375240
191,1717,375234
192,1727,375234
193,1724,375234
194,1717,375235
195,1727,375235
196,1723,375235
197,1717,375236
198,1727,375236
199,1723,375236
200,1717,375239
201,1727,375239
202,1726,375239
203,1717,375238
204,1727,375238
205,1725,375238
206,1762,379252
207,1716,379252
208,1717,379252
209,1762,379251
210,1716,379251
211,1717,379251
212,1762,379250
213,1716,379250
214,1717,379250
215,1762,379249
216,1716,379249
217,1717,379249
218,1762,379248
219,1716,379248
220,1717,379248
221,1762,381102
222,1716,381102
223,1720,381102
224,1762,381103
225,1716,381103
226,1720,381103
227,1716,379267
228,1892,379267
229,1717,379267
230,1716,379266
231,1892,379266
232,1717,379266
233,1716,379265
234,1892,379265
235,1717,379265
236,1716,379264
237,1892,379264
238,1717,379264
239,1716,379263
240,1892,379263
241,1717,379263
242,1716,381104
243,1891,381104
244,1720,381104
245,1716,381105
246,1891,381105
247,1720,381105
248,1716,379272
249,1719,379272
250,1717,379272
251,1716,379271
252,1719,379271
253,1717,379271
254,1716,379270
255,1719,379270
256,1717,379270
257,1716,379269
258,1719,379269
259,1717,379269
260,1716,379268
261,1719,379268
262,1717,379268
263,1716,381106
264,1722,381106
265,1720,381106
266,1720,381519
267,1727,381519
268,1893,381519
269,1720,381515
270,1727,381515
271,1724,381515
272,1720,381516
273,1727,381516
274,1723,381516
275,1720,381518
276,1727,381518
277,1726,381518
278,1720,381517
279,1727,381517
280,1725,381517
281,1930,381207
282,1845,381207
283,1899,381207
284,1943,381204
285,1907,381204
286,1899,381204
287,1943,381203
288,1905,381203
289,1899,381203
290,1905,384297
291,1899,384297
292,1900,384297
293,1943,381201
294,1903,381201
295,1899,381201
296,1902,381959
297,2343,381959
298,1899,381959
299,1943,381205
300,1904,381205
301,1899,381205
302,1943,381202
303,1901,381202
304,1899,381202
305,1845,384295
306,1899,384295
307,1900,384295
308,1930,381209
309,1845,381209
310,1896,381209
311,1943,381211
312,1907,381211
313,1896,381211
314,1943,381212
315,1905,381212
316,1896,381212
317,1905,384296
318,1896,384296
319,1900,384296
320,1943,381214
321,1903,381214
322,1896,381214
323,1902,381960
324,2340,381960
325,1896,381960
326,1943,381210
327,1904,381210
328,1896,381210
329,1943,381213
330,1901,381213
331,1896,381213
332,1845,384291
333,1896,384291
334,1900,384291
335,1930,381154
336,1845,381154
337,1897,381154
338,1943,381197
339,1907,381197
340,1897,381197
341,1943,381198
342,1905,381198
343,1897,381198
344,1905,384298
345,1897,384298
346,1900,384298
347,1943,381200
348,1903,381200
349,1897,381200
350,1902,381958
351,2341,381958
352,1897,381958
353,1943,381196
354,1904,381196
355,1897,381196
356,1943,381199
357,1901,381199
358,1897,381199
359,1845,384293
360,1897,384293
361,1900,384293
362,1930,375241
363,1845,375241
364,1898,375241
365,1943,375243
366,1907,375243
367,1898,375243
368,1943,375246
369,1905,375246
370,1898,375246
371,1905,384299
372,1898,384299
373,1900,384299
374,1943,375244
375,1903,375244
376,1898,375244
377,1902,381957
378,2342,381957
379,1898,381957
380,1943,375242
381,1904,375242
382,1898,375242
383,1943,375245
384,1901,375245
385,1898,375245
386,1845,384294
387,1898,384294
388,1900,384294
389,969,379275
390,1989,379275
391,1632,379275
392,969,381098
393,1989,381098
394,1632,381098
395,969,381099
396,1989,381099
397,1632,381099
398,969,381101
399,1989,381101
400,1632,381101
401,969,378905
402,1989,378905
403,1632,378905
404,969,377939
405,1989,377939
406,1632,377939
407,969,378897
408,1989,378897
409,1632,378897
410,969,381096
411,1989,381096
412,1632,381096
413,969,381100
414,1989,381100
415,1632,381100
416,969,381097
417,1989,381097
418,1632,381097
419,969,382090
420,1989,382090
421,1632,382090
422,969,381717
423,1989,381717
424,1632,381717
425,969,377938
426,1989,377938
427,1632,377938
