ID,CollectionsFileDataID,GeosetType,GeosetID,Modifier,Flags
1,2763975,24,1,-1,0
2,2763975,24,2,-1,0
3,2763975,24,3,-1,0
4,2763975,24,4,-1,0
5,2763975,24,5,-1,0
6,2763975,24,6,-1,0
7,2763975,25,1,-1,0
8,2763975,25,2,-1,0
9,2763975,25,3,-1,0
10,2763975,25,4,-1,0
11,2763975,25,5,-1,0
12,2763975,25,6,-1,0
13,2763975,25,7,-1,0
14,2763975,25,8,-1,0
15,2763975,25,9,-1,0
16,2763975,25,10,-1,0
17,2763975,25,11,-1,0
18,2763974,24,1,-1,0
19,2763974,24,2,-1,0
20,2763974,24,3,-1,0
21,2763974,24,4,-1,0
22,2763974,24,5,-1,0
23,2763974,24,6,-1,0
24,2763974,25,1,-1,0
25,2763974,25,2,-1,0
26,2763974,25,3,-1,0
27,2763974,25,4,-1,0
28,2763974,25,5,-1,0
29,2763974,25,6,-1,0
30,2763974,25,7,-1,0
31,2763974,25,8,-1,0
32,2763974,25,9,-1,0
33,2763974,25,10,-1,0
34,2763974,25,11,-1,0
35,2763973,24,1,-1,0
36,2763973,24,2,-1,0
37,2763973,24,3,-1,0
38,2763973,24,4,-1,0
39,2763973,24,5,-1,0
40,2763973,24,6,-1,0
41,2763973,25,1,-1,0
42,2763973,25,2,-1,0
43,2763973,25,3,-1,0
44,2763973,25,4,-1,0
45,2763973,25,5,-1,0
46,2763973,25,6,-1,0
47,2763973,25,7,-1,0
48,2763973,25,8,-1,0
49,2763973,25,9,-1,0
50,2763973,25,10,-1,0
51,2763973,25,11,-1,0
52,2763972,24,1,-1,0
53,2763972,24,2,-1,0
54,2763972,24,3,-1,0
55,2763972,24,4,-1,0
56,2763972,24,5,-1,0
57,2763972,24,6,-1,0
58,2763972,25,1,-1,0
59,2763972,25,2,-1,0
60,2763972,25,3,-1,0
61,2763972,25,4,-1,0
62,2763972,25,5,-1,0
63,2763972,25,6,-1,0
64,2763972,25,7,-1,0
65,2763972,25,8,-1,0
66,2763972,25,9,-1,0
67,2763972,25,10,-1,0
68,2763972,25,11,-1,0
69,2628212,7,3,-1,0
70,2628212,7,4,-1,0
71,2628212,7,5,-1,0
72,2628212,24,2,1,0
73,2628212,7,3,-1,0
74,2628212,7,4,-1,0
75,2628212,7,5,-1,0
76,2628212,24,3,1,0
77,2628212,7,3,-1,0
78,2628212,7,4,-1,0
79,2628212,7,5,-1,0
80,2628212,24,4,1,0
81,2628212,7,3,-1,0
