ID,CurrencyTypesID,CurrencyCost,JournalEncounterID,JournalInstanceID
3,1273,0,0,946
4,1580,1,2082,0
5,1580,1,2036,0
6,1580,1,2083,0
7,1580,1,2030,0
11,1580,1,2168,0
12,1580,1,2167,0
13,1580,1,2166,0
14,1580,1,2146,0
15,1580,1,2169,0
16,1580,1,2195,0
17,1580,1,2194,0
18,1580,1,2147,0
119,1580,1,2095,0
120,1580,1,2094,0
121,1580,1,2093,0
122,1580,1,2102,0
123,1580,1,2165,0
124,1580,1,2171,0
125,1580,1,2170,0
126,1580,1,2172,0
127,1580,1,2156,0
128,1580,1,2155,0
129,1580,1,2154,0
130,1580,1,2153,0
131,1580,1,2140,0
132,1580,1,2134,0
133,1580,1,2173,0
134,1580,1,2133,0
135,1580,1,2132,0
136,1580,1,2145,0
137,1580,1,2144,0
138,1580,1,2143,0
139,1580,1,2142,0
140,1580,1,2116,0
141,1580,1,2115,0
142,1580,1,2114,0
143,1580,1,2109,0
144,1580,1,2096,0
145,1580,1,2099,0
146,1580,1,2098,0
147,1580,1,2097,0
148,1580,1,2158,0
149,1580,1,2130,0
150,1580,1,2131,0
151,1580,1,2157,0
152,1580,1,2128,0
153,1580,1,2127,0
154,1580,1,2126,0
155,1580,1,2125,0
156,1580,1,2129,0
157,1580,1,0,1022
158,1580,1,0,1021
159,1580,1,0,1002
160,1580,1,0,1012
161,1580,1,0,1030
162,1580,1,0,1023
163,1580,1,0,1036
164,1580,1,0,1041
165,1580,1,0,1001
166,1580,1,0,968
167,1580,1,0,0
168,1580,1,2344,0
169,1580,1,2333,0
170,1580,1,2323,0
171,1580,1,2341,0
172,1580,1,2340,0
173,1580,1,2325,0
174,1580,1,2342,0
175,1580,1,2342,0
176,1580,1,2330,0
177,1580,1,2330,0
178,1580,1,2335,0
179,1580,1,2335,0
180,1580,1,2334,0
181,1580,1,2334,0
182,1580,1,2337,0
183,1580,1,2337,0
184,1580,1,2343,0
185,1580,1,2343,0
186,1580,1,0,0
187,1580,1,0,0
191,1580,1,2328,0
192,1580,1,2332,0
193,1580,1,2352,0
194,1580,1,2353,0
195,1580,1,2351,0
196,1580,1,2347,0
197,1580,1,2354,0
198,1580,1,2349,0
199,1580,1,2359,0
200,1580,1,2361,0
201,1580,1,2357,0
202,1580,1,2358,0
203,1580,1,2360,0
204,1580,1,2355,0
205,1580,1,2336,0
206,1580,1,2339,0
207,1580,1,2348,0
208,1580,1,2331,0
209,1580,1,2368,0
210,1580,1,2365,0
211,1580,1,2369,0
212,1580,1,2372,0
213,1580,1,2377,0
214,1580,1,2370,0
215,1580,1,2367,0
216,1580,1,2374,0
217,1580,1,2364,0
218,1580,1,2373,0
219,1580,1,2366,0
220,1580,1,2375,0
221,1580,1,0,1178
222,1580,1,0,1178
